	Gene	FBgn	Position	Sample1	Sample2	FPKM1	FPKM2	FoldChange.Log2	TestStat	Pval	Qval
36	CG15784	FBgn0029766	X:5324712-5326494	short-lived/young	short-lived/old	19.2073	114.044	2.56987	5.83302	5e-05	0.00944315
37	CG1648	FBgn0033446	2R:5698889-5707556	short-lived/young	short-lived/old	176.487	575.173	1.70444	4.18602	0.00015	0.0229783
38	CG16712	FBgn0031561	2L:3696239-3696661	short-lived/young	short-lived/old	619.386	3044.35	2.29722	5.66644	5e-05	0.00944315
39	CG16713	FBgn0031560	2L:3695031-3695406	short-lived/young	short-lived/old	140.794	785.012	2.47913	4.66643	1e-04	0.0164785
40	CG1681	FBgn0030484	X:13298788-13303249	short-lived/young	short-lived/old	73.1458	199.483	1.44742	3.65233	4e-04	0.04866
41	CG16836	FBgn0040735	2R:14276599-14276963	short-lived/young	short-lived/old	136.515	993.238	2.86308	5.41452	5e-05	0.00944315
42	CG16926	FBgn0040732	2R:15385258-15388801	short-lived/young	short-lived/old	181.661	496.162	1.44956	3.61911	4e-04	0.04866
43	CG17108	FBgn0032285	2L:10692939-10694103	short-lived/young	short-lived/old	97.5657	524.985	2.42783	6.03332	5e-05	0.00944315
44	CG17224	FBgn0031489	2L:3016590-3018304	short-lived/young	short-lived/old	28.8302	102.772	1.83379	4.01884	5e-05	0.00944315
45	CG17549	FBgn0032774	2L:19387049-19390070	short-lived/young	short-lived/old	51.0632	174.803	1.77538	4.23628	5e-05	0.00944315
46	CG18067	FBgn0034512	2R:16422014-16422860	short-lived/young	short-lived/old	219.91	2113.82	3.26487	7.40207	5e-05	0.00944315
47	CG2076	FBgn0030263	X:10984413-10986127	short-lived/young	short-lived/old	107.352	295.381	1.46022	3.73424	4e-04	0.04866
48	CG2233	FBgn0029990	X:7929764-7931533	short-lived/young	short-lived/old	281.911	1163.45	2.0451	4.51896	5e-05	0.00944315
49	CG30002	FBgn0260474	2R:5591887-5593652	short-lived/young	short-lived/old	4.38856	25.1047	2.51614	3.81825	0.00035	0.0440011
50	CG30087	FBgn0050087	2R:11579952-11581256	short-lived/young	short-lived/old	0	1.75161	NA	NA	5e-05	0.00944315
51	CG30091	FBgn0050091	2R:11568075-11569908	short-lived/young	short-lived/old	0	0.512199	NA	NA	0.00025	0.0344675
52	CG30360	FBgn0050360	2R:4352674-4354701	short-lived/young	short-lived/old	29.1576	167.241	2.51999	6.06809	5e-05	0.00944315
53	CG31313	FBgn0051313	3R:10392301-10393148	short-lived/young	short-lived/old	46.319	257.696	2.47599	5.0921	5e-05	0.00944315
54	CG31326	FBgn0051326	3R:10043857-10045927	short-lived/young	short-lived/old	14.3456	57.556	2.00436	4.11536	2e-04	0.028823
55	CG32368	FBgn0052368	3L:7908536-7908946	short-lived/young	short-lived/old	23.2288	425.567	4.1954	6.53596	5e-05	0.00944315
56	CG32444	FBgn0043783	3L:21630046-21632160	short-lived/young	short-lived/old	35.2146	143.414	2.02594	4.86265	5e-05	0.00944315
57	CG32642	FBgn0052642	X:12853314-12854543	short-lived/young	short-lived/old	78.0768	7.63594	-3.35402	-5.54524	5e-05	0.00944315
58	CG33462	FBgn0053462	2R:11584308-11585515	short-lived/young	short-lived/old	0	1.60809	NA	NA	5e-05	0.00944315
59	CG33926	FBgn0053926	3L:9436363-9439480	short-lived/young	short-lived/old	11.7132	164.817	3.81465	6.24932	5e-05	0.00944315
60	CG34166	FBgn0085195	2L:14743252-14743859	short-lived/young	short-lived/old	212.395	3508.08	4.04587	8.95138	5e-05	0.00944315
61	CG34212	FBgn0085241	2R:1937411-1937791	short-lived/young	short-lived/old	1423.29	4118.3	1.53282	3.69008	4e-04	0.04866
62	CG34227	FBgn0085256	2R:7135630-7136117	short-lived/young	short-lived/old	19.0801	223.539	3.55038	5.46617	5e-05	0.00944315
63	CG34330	FBgn0085359	X:18962305-18962925	short-lived/young	short-lived/old	133.024	470.792	1.8234	4.49896	5e-05	0.00944315
64	CG34333	FBgn0085362	X:2170005-2171743	short-lived/young	short-lived/old	393.483	135.661	-1.53629	-3.80282	4e-04	0.04866
65	CG34423	FBgn0085452	2R:19245182-19253777	short-lived/young	short-lived/old	61.3675	798.567	3.70187	4.83842	1e-04	0.0164785
66	CG3884	FBgn0265185	2R:8835852-8839791	short-lived/young	short-lived/old	38.6269	144.165	1.90004	4.31611	5e-05	0.00944315
67	CG4250	FBgn0034761	2R:18551192-18551979	short-lived/young	short-lived/old	54.0203	241.259	2.15901	4.53518	2e-04	0.028823
68	CG4269	FBgn0034741	2R:18486859-18487861	short-lived/young	short-lived/old	3.88796	107.593	4.79043	5.97684	0.00025	0.0344675
69	CG4363	FBgn0034663	2R:17721734-17722534	short-lived/young	short-lived/old	54.7899	430.71	2.97474	6.30303	5e-05	0.00944315
70	CG4377	FBgn0034664	2R:17722952-17723835	short-lived/young	short-lived/old	24.7175	157.742	2.67397	4.85055	1e-04	0.0164785
71	CG4757	FBgn0027584	3R:6986923-6988868	short-lived/young	short-lived/old	8.88764	230.567	4.69724	8.51966	5e-05	0.00944315
72	CG5010	FBgn0260747	X:17043070-17044680	short-lived/young	short-lived/old	284.891	1119.42	1.97428	4.69463	5e-05	0.00944315
73	CG5399	FBgn0038353	3R:11520991-11522286	short-lived/young	short-lived/old	166.456	652.462	1.97076	4.86802	5e-05	0.00944315
74	CG5506	FBgn0036766	3L:17872200-17877474	short-lived/young	short-lived/old	188.763	605.315	1.68111	3.98695	5e-05	0.00944315
75	CG5778	FBgn0038930	3R:17911092-17935903	short-lived/young	short-lived/old	110.207	588.603	2.41708	5.07966	5e-05	0.00944315
76	CG5966	FBgn0029831	X:5882844-5886677	short-lived/young	short-lived/old	11.0656	42.1161	1.92829	4.13317	0.00025	0.0344675
77	CG6188	FBgn0038074	3R:8500330-8501806	short-lived/young	short-lived/old	8.06405	89.7492	3.47632	5.63895	5e-05	0.00944315
78	CG6283	FBgn0039474	3R:22845953-22847100	short-lived/young	short-lived/old	14.5648	70.8144	2.28155	4.19685	3e-04	0.0392668
79	CG6357	FBgn0033875	2R:9727580-9729248	short-lived/young	short-lived/old	45.387	200.096	2.14034	5.18195	5e-05	0.00944315
80	CG6409	FBgn0036106	3L:10873793-10875151	short-lived/young	short-lived/old	105.444	508.828	2.2707	5.57621	5e-05	0.00944315
81	CG6484	FBgn0034247	2R:13469511-13471514	short-lived/young	short-lived/old	26.3597	104.495	1.98702	4.39801	1e-04	0.0164785
82	CG6503	FBgn0040606	3R:22250418-22250827	short-lived/young	short-lived/old	717.52	2667.35	1.89432	4.65973	5e-05	0.00944315
83	CG6639	FBgn0032638	2L:17452923-17458775	short-lived/young	short-lived/old	1.12763	126.707	6.81205	7.60054	5e-05	0.00944315
84	CG6687	FBgn0038299	3R:11032417-11034484	short-lived/young	short-lived/old	3.45924	51.6792	3.90106	5.95963	5e-05	0.00944315
85	CG8690	FBgn0033297	2R:4359487-4361466	short-lived/young	short-lived/old	9.24637	84.7101	3.19558	6.20515	5e-05	0.00944315
86	CG9080	FBgn0033593	2R:7129249-7129700	short-lived/young	short-lived/old	64.9025	330.362	2.3477	4.52571	0.00015	0.0229783
87	CG9090	FBgn0034497	2R:16166560-16168629	short-lived/young	short-lived/old	316.497	104.866	-1.59365	-4.00967	2e-04	0.028823
88	CG9297	FBgn0038181	3R:9597319-9605037	short-lived/young	short-lived/old	124.452	38.3832	-1.69704	-4.14738	1e-04	0.0164785
89	CG9691	FBgn0030160	X:9778474-9779079	short-lived/young	short-lived/old	84.8361	393.705	2.21437	5.09731	5e-05	0.00944315
90	CG9836	FBgn0037637	3R:4648563-4649895	short-lived/young	short-lived/old	145.534	468.546	1.68683	4.24275	0.00015	0.0229783
91	CG9928	FBgn0032472	2L:13142480-13142902	short-lived/young	short-lived/old	122.901	787.053	2.67896	5.68787	5e-05	0.00944315
92	Cht4	FBgn0022700	2R:16952884-16954592	short-lived/young	short-lived/old	7.20095	51.4576	2.83712	4.58686	3e-04	0.0392668
93	Cp18	FBgn0000357	3L:8719890-8720713	short-lived/young	short-lived/old	2436.51	609.531	-1.99905	-4.68993	5e-05	0.00944315
94	Cpr92F	FBgn0038819	3R:16495292-16498538	short-lived/young	short-lived/old	30.9358	5.7501	-2.42762	-4.04651	0.00025	0.0344675
95	Cyp4p1	FBgn0015037	2R:5115285-5134752	short-lived/young	short-lived/old	11.3506	78.8318	2.79601	4.62993	5e-05	0.00944315
96	Cyp6a8	FBgn0013772	2R:10774675-10776514	short-lived/young	short-lived/old	5.96076	50.6401	3.08671	5.2282	1e-04	0.0164785
97	Cyp6g1	FBgn0025454	2R:8073167-8077882	short-lived/young	short-lived/old	50.1768	142.172	1.50254	3.7554	3e-04	0.0392668
98	Cyp6w1	FBgn0033065	2R:2061200-2062947	short-lived/young	short-lived/old	23.7367	116.164	2.29098	5.27253	5e-05	0.00944315
99	Cys	FBgn0004629	3R:10394752-10395363	short-lived/young	short-lived/old	143.666	777.626	2.43635	5.9386	5e-05	0.00944315
100	Dbi	FBgn0010387	3L:7124964-7126563	short-lived/young	short-lived/old	396.957	1135.77	1.51661	3.85233	5e-05	0.00944315
101	Dcp2	FBgn0036534	3L:15814086-15819519	short-lived/young	short-lived/old	27.306	7.19022	-1.92511	-4.05254	2e-04	0.028823
102	Dpt	FBgn0004240	2R:14753269-14753765	short-lived/young	short-lived/old	15.9932	659.963	5.36686	8.38971	5e-05	0.00944315
103	DptB	FBgn0034407	2R:14754894-14755400	short-lived/young	short-lived/old	13.3692	372.773	4.80131	6.92168	0.00015	0.0229783
104	Dro	FBgn0010388	2R:10633460-10633821	short-lived/young	short-lived/old	54.954	1268.19	4.5284	7.55256	5e-05	0.00944315
105	Drs	FBgn0283461	3L:3369568-3369942	short-lived/young	short-lived/old	1122.63	4012.15	1.8375	4.44835	5e-05	0.00944315
106	Eip71CD	FBgn0000565	3L:15504152-15506302	short-lived/young	short-lived/old	43.2519	129.526	1.5824	3.58824	0.00035	0.0440011
107	Fst	FBgn0037724	3R:5463903-5475982	short-lived/young	short-lived/old	13.7533	64.5832	2.23138	4.08901	0.00025	0.0344675
108	GstE9	FBgn0063491	2R:14296515-14299024	short-lived/young	short-lived/old	62.5039	242.347	1.95505	4.2365	5e-05	0.00944315
109	Hn	FBgn0001208	3L:7753576-7756268	short-lived/young	short-lived/old	32.0706	106.094	1.72602	4.094	1e-04	0.0164785
110	Hsp22	FBgn0001223	3L:9365821-9368064	short-lived/young	short-lived/old	32.8455	430.632	3.71269	7.83448	5e-05	0.00944315
111	IM1	FBgn0034329	2R:14271456-14271883	short-lived/young	short-lived/old	154.132	1640.39	3.4118	6.90075	5e-05	0.00944315
112	IM14	FBgn0067905	2R:16757929-16758134	short-lived/young	short-lived/old	605.395	8106.56	3.74314	5.76782	1e-04	0.0164785
113	IM2	FBgn0025583	2R:14274101-14274535	short-lived/young	short-lived/old	173.024	1099.01	2.66716	5.96415	5e-05	0.00944315
114	IM23	FBgn0034328	2R:14270208-14270737	short-lived/young	short-lived/old	15.9692	265.219	4.05382	6.07252	5e-05	0.00944315
115	IM3	FBgn0040736	2R:14275624-14275995	short-lived/young	short-lived/old	651.404	2913.95	2.16135	5.35802	5e-05	0.00944315
116	IM4	FBgn0040653	2R:16756340-16756826	short-lived/young	short-lived/old	201.695	1706.23	3.08056	7.16662	5e-05	0.00944315
117	Idgf3	FBgn0020414	2L:16450906-16453176	short-lived/young	short-lived/old	33.4949	121.927	1.86401	4.4715	5e-05	0.00944315
118	LvpH	FBgn0002570	2R:4334973-4339404	short-lived/young	short-lived/old	63.8846	362.664	2.5051	5.9614	5e-05	0.00944315
119	LysX	FBgn0004431	3L:1194738-1195302	short-lived/young	short-lived/old	4.03834	140.55	5.12117	6.4207	4e-04	0.04866
120	Mec2	FBgn0030993	X:19082067-19084226	short-lived/young	short-lived/old	16.3845	93.8584	2.51816	4.92053	1e-04	0.0164785
121	Mnt	FBgn0023215	X:3565833-3594813	short-lived/young	short-lived/old	33.7495	7.6213	-2.14676	-4.16383	0.00015	0.0229783
122	Mtk	FBgn0014865	2R:11296350-11296621	short-lived/young	short-lived/old	56.9641	1488.35	4.70752	7.1064	5e-05	0.00944315
123	MtnA	FBgn0002868	3R:5609486-5610093	short-lived/young	short-lived/old	583.496	4247.94	2.86397	6.8663	5e-05	0.00944315
124	Muc11A	FBgn0052656	X:11953833-11959180	short-lived/young	short-lived/old	53.294	244.037	2.19505	5.31475	5e-05	0.00944315
125	Mur18B	FBgn0030999	X:19107288-19108971	short-lived/young	short-lived/old	212.574	755.368	1.82922	4.21343	5e-05	0.00944315
126	Mur2B	FBgn0025390	X:1417932-1553962	short-lived/young	short-lived/old	35.2151	7.05786	-2.31889	-5.39433	5e-05	0.00944315
127	Npc2g	FBgn0039800	3R:26570325-26570983	short-lived/young	short-lived/old	91.9505	374.019	2.02418	4.85967	5e-05	0.00944315
128	Obp56d	FBgn0034470	2R:15590634-15591300	short-lived/young	short-lived/old	119.114	382.684	1.68381	3.99128	3e-04	0.0392668
129	Obp99a	FBgn0039678	3R:25497381-25498056	short-lived/young	short-lived/old	125.665	570.877	2.1836	5.30257	5e-05	0.00944315
130	Obp99c	FBgn0039682	3R:25508223-25512504	short-lived/young	short-lived/old	233.459	767.419	1.71684	4.28856	5e-05	0.00944315
131	PGRP-SB1	FBgn0043578	3L:16720398-16721118	short-lived/young	short-lived/old	23.7801	323.913	3.76778	6.61894	5e-05	0.00944315
132	PebIII	FBgn0011695	2R:19914055-19915040	short-lived/young	short-lived/old	315.871	968.937	1.61707	4.03709	0.00015	0.0229783
133	Pepck	FBgn0003067	2R:14424271-14426924	short-lived/young	short-lived/old	66.373	356.621	2.42572	5.77357	5e-05	0.00944315
134	SPE	FBgn0039102	3R:19511978-19513869	short-lived/young	short-lived/old	21.0449	98.1446	2.22144	4.6066	0.00015	0.0229783
135	Sodh-1	FBgn0024289	3R:2878056-2880264	short-lived/young	short-lived/old	17.4432	89.8734	2.36523	4.78802	5e-05	0.00944315
136	TepII	FBgn0041182	2L:7693799-7701585	short-lived/young	short-lived/old	9.03915	31.8171	1.81554	4.15672	5e-05	0.00944315
137	TotA	FBgn0028396	3R:16696757-16697427	short-lived/young	short-lived/old	112.327	2294.13	4.35218	9.52946	5e-05	0.00944315
138	TotB	FBgn0038838	3R:16699671-16700259	short-lived/young	short-lived/old	0	3.28335	NA	NA	5e-05	0.00944315
139	TotC	FBgn0044812	3R:16698709-16699310	short-lived/young	short-lived/old	90.3269	1571.63	4.12096	8.85576	5e-05	0.00944315
140	TotM	FBgn0031701	2L:5329856-5330466	short-lived/young	short-lived/old	13.7244	403.62	4.87818	7.62505	5e-05	0.00944315
141	TpnC4	FBgn0033027	2R:1384183-1437059	short-lived/young	short-lived/old	192.404	44.418	-2.11492	-4.41769	2e-04	0.028823
142	Tsf1	FBgn0022355	X:18281964-18284377	short-lived/young	short-lived/old	169.51	1343.93	2.98702	6.1728	5e-05	0.00944315
143	Tsp29Fa	FBgn0032074	2L:8933963-8936096	short-lived/young	short-lived/old	47.0368	147.09	1.64484	3.66801	0.00015	0.0229783
144	Tsp29Fb	FBgn0032075	2L:8937389-8939746	short-lived/young	short-lived/old	121.99	371.335	1.60596	3.9892	0.00025	0.0344675
145	Tsp42Ed	FBgn0029507	2R:2897364-2899359	short-lived/young	short-lived/old	44.7987	188.265	2.07124	4.58945	5e-05	0.00944315
146	Unr	FBgn0263352	3L:8427148-8431786	short-lived/young	short-lived/old	52.9906	19.1689	-1.46697	-3.70778	3e-04	0.0392668
147	Uro	FBgn0003961	2L:7780084-7781415	short-lived/young	short-lived/old	24.2355	87.0637	1.84495	4.03873	0.00035	0.0440011
148	dec-1	FBgn0000427	X:7761228-7767255	short-lived/young	short-lived/old	303.106	83.5387	-1.85931	-3.98917	2e-04	0.028823
149	east	FBgn0261954	X:1906344-1916904	short-lived/young	short-lived/old	21.9568	8.01744	-1.45346	-3.60321	0.00025	0.0344675
150	fit	FBgn0038914	3R:17706531-17710176	short-lived/young	short-lived/old	78.7537	405.941	2.36585	5.13094	5e-05	0.00944315
151	fln	FBgn0005633	3L:19982650-19984279	short-lived/young	short-lived/old	119.42	18.6678	-2.67742	-5.25168	5e-05	0.00944315
152	gpp	FBgn0264495	3R:2232578-2273729	short-lived/young	short-lived/old	26.5245	9.55976	-1.47228	-3.69791	2e-04	0.028823
153	kuz	FBgn0259984	2L:13550140-13638238	short-lived/young	short-lived/old	19.6427	6.77898	-1.53486	-3.60882	0.00035	0.0440011
154	tlk	FBgn0086899	X:3614053-3682010	short-lived/young	short-lived/old	28.4424	9.40451	-1.59662	-3.85481	1e-04	0.0164785
155	vir-1	FBgn0043841	2L:12403269-12423421	short-lived/young	short-lived/old	188.901	877.453	2.21569	5.22169	5e-05	0.00944315
156	Acp65Aa	FBgn0020765	3L:6145149-6145845	long-lived/young	long-lived/old	280.361	1.7774	-7.30138	-8.85569	0.00025	0.0344675
157	Act79B	FBgn0000045	3L:21978330-21980290	long-lived/young	long-lived/old	921.938	47.0084	-4.29368	-9.50918	5e-05	0.00944315
158	Act87E	FBgn0000046	3R:9251706-9253811	long-lived/young	long-lived/old	307.209	47.6427	-2.68889	-6.51961	5e-05	0.00944315
159	Act88F	FBgn0000047	3R:11265709-11267895	long-lived/young	long-lived/old	526.515	75.8925	-2.79445	-6.65594	5e-05	0.00944315
160	Ama	FBgn0000071	3R:2588314-2590983	long-lived/young	long-lived/old	1.28854	0	NA	NA	5e-05	0.00944315
161	Amy-d	FBgn0000078	2R:13012266-13013887	long-lived/young	long-lived/old	68.6279	217.611	1.66489	4.19591	5e-05	0.00944315
162	Amy-p	FBgn0000079	2R:13006210-13007808	long-lived/young	long-lived/old	68.3552	223.235	1.70744	4.28569	5e-05	0.00944315
163	Arc1	FBgn0033926	2R:10245427-10247799	long-lived/young	long-lived/old	132.207	639.521	2.27419	5.01421	5e-05	0.00944315
164	AttA	FBgn0012042	2R:10634866-10635699	long-lived/young	long-lived/old	16.9852	147.404	3.11743	5.42269	5e-05	0.00944315
165	AttC	FBgn0041579	2R:9281209-9286873	long-lived/young	long-lived/old	2.93663	548.906	7.54625	10.1986	5e-05	0.00944315
166	CG10911	FBgn0034295	2R:13940051-13941569	long-lived/young	long-lived/old	235.97	717.709	1.6048	3.90858	3e-04	0.0392668
167	CG10912	FBgn0034296	2R:13943567-13944564	long-lived/young	long-lived/old	44.9447	220.055	2.29164	5.07982	5e-05	0.00944315
168	CG11381	FBgn0029568	X:1097811-1099468	long-lived/young	long-lived/old	94.0897	30.2532	-1.63695	-3.96562	0.00015	0.0229783
169	CG11669	FBgn0033296	2R:4357053-4359154	long-lived/young	long-lived/old	4.69991	109.826	4.54644	7.56883	5e-05	0.00944315
170	CG11905	FBgn0036678	3L:16921476-16928632	long-lived/young	long-lived/old	0.401064	0	NA	NA	5e-05	0.00944315
171	CG11909	FBgn0261575	3R:21165973-21172634	long-lived/young	long-lived/old	25.3246	255.492	3.33467	7.67819	5e-05	0.00944315
172	CG13083	FBgn0032789	2L:19487489-19490083	long-lived/young	long-lived/old	186.665	52.7367	-1.82357	-4.09479	1e-04	0.0164785
173	CG13084	FBgn0032788	2L:19484929-19486532	long-lived/young	long-lived/old	98.0846	31.4881	-1.63922	-3.96177	0.00015	0.0229783
174	CG13114	FBgn0032127	2L:9545810-9547424	long-lived/young	long-lived/old	150.154	38.7125	-1.95557	-4.79399	5e-05	0.00944315
175	CG13309	FBgn0035933	3L:8803494-8804365	long-lived/young	long-lived/old	57.118	187.334	1.7136	3.82118	4e-04	0.04866
176	CG13323	FBgn0033788	2R:8934237-8934793	long-lived/young	long-lived/old	108.164	693.48	2.68064	6.27538	5e-05	0.00944315
177	CG13324	FBgn0033789	2R:8936646-8937123	long-lived/young	long-lived/old	11.8079	205.442	4.1209	5.8234	5e-05	0.00944315
178	CG13335	FBgn0261989	2R:9459028-9460045	long-lived/young	long-lived/old	50.7461	372.819	2.8771	6.5404	5e-05	0.00944315
179	CG13905	FBgn0035176	3L:902897-903810	long-lived/young	long-lived/old	7.1665	204.575	4.83521	7.51308	5e-05	0.00944315
180	CG14245	FBgn0039452	3R:22553263-22555772	long-lived/young	long-lived/old	19.7932	252.638	3.674	5.23231	3e-04	0.0392668
181	CG14292	FBgn0038658	3R:14730654-14731377	long-lived/young	long-lived/old	302.233	946.002	1.64618	4.1451	5e-05	0.00944315
182	CG14309	FBgn0038611	3R:14203841-14210723	long-lived/young	long-lived/old	55.6487	9.50628	-2.5494	-5.39066	5e-05	0.00944315
183	CG1468	FBgn0030157	X:9772454-9773312	long-lived/young	long-lived/old	35.0132	128.56	1.87647	4.02308	0.00035	0.0440011
184	CG14756	FBgn0033275	2R:4092392-4093211	long-lived/young	long-lived/old	1.15984	0	NA	NA	5e-05	0.00944315
185	CG14834	FBgn0035768	3L:7338797-7340223	long-lived/young	long-lived/old	94.925	27.6874	-1.77756	-4.04388	0.00015	0.0229783
186	CG15022	FBgn0035547	3L:4459191-4460313	long-lived/young	long-lived/old	1.10673	0	NA	NA	0.00015	0.0229783
187	CG15043	FBgn0030929	X:18387433-18388197	long-lived/young	long-lived/old	73.4535	400.996	2.44869	5.75922	5e-05	0.00944315
188	CG15293	FBgn0028526	2L:14108056-14109304	long-lived/young	long-lived/old	83.5719	269.914	1.69141	4.25647	5e-05	0.00944315
189	CG15570	FBgn0029697	X:4112258-4117216	long-lived/young	long-lived/old	64.5369	18.003	-1.84188	-4.5813	5e-05	0.00944315
190	CG15784	FBgn0029766	X:5324712-5326494	long-lived/young	long-lived/old	24.758	129.305	2.38481	5.63392	5e-05	0.00944315
191	CG16712	FBgn0031561	2L:3696239-3696661	long-lived/young	long-lived/old	746.698	2143.91	1.52165	3.83158	0.00025	0.0344675
192	CG1674	FBgn0039897	4:251355-266529	long-lived/young	long-lived/old	69.0725	19.8224	-1.80098	-4.12104	5e-05	0.00944315
193	CG17145	FBgn0036953	3L:20214915-20216068	long-lived/young	long-lived/old	0	1.51168	NA	NA	5e-05	0.00944315
194	CG17191	FBgn0039473	3R:22844329-22845473	long-lived/young	long-lived/old	0	1.08101	NA	NA	1e-04	0.0164785
195	CG17192	FBgn0039472	3R:22842896-22844009	long-lived/young	long-lived/old	202.925	15.7154	-3.6907	-6.76369	5e-05	0.00944315
196	CG18067	FBgn0034512	2R:16422014-16422860	long-lived/young	long-lived/old	234.828	1658.98	2.82062	6.58238	5e-05	0.00944315
197	CG2150	FBgn0003065	3R:27589025-27590488	long-lived/young	long-lived/old	0.961377	0	NA	NA	5e-05	0.00944315
198	CG2233	FBgn0029990	X:7929764-7931533	long-lived/young	long-lived/old	386.225	1522.9	1.97931	4.2216	2e-04	0.028823
