	Gene	FBgn	Position	Sample1	Sample2	FPKM1	FPKM2	FoldChange.Log2	TestStat	Pval	Qval
90	CG10621	FBgn0032726	2L:18952205-18954425	young	old	136.754	463.367	1.76057	2.80169	5e-05	0.000618758
91	CG10623	FBgn0032727	2L:18955480-18957169	young	old	33.7214	19.3063	-0.804591	-1.44881	2e-04	0.00208188
92	CG10630	FBgn0035608	3L:5490622-5492058	young	old	0.146905	1.04352	2.82851	1.54761	0.004	0.02441
93	CG10631	FBgn0032817	2L:19742813-19756867	young	old	5.38165	3.50376	-0.619147	-1.16614	0.00475	0.0279729
94	CG10638	FBgn0036290	3L:12491503-12494411	young	old	41.9665	108.751	1.37372	2.2375	5e-05	0.000618758
95	CG10657	FBgn0036289	3L:12484924-12490298	young	old	49.8281	22.3353	-1.15763	-2.07863	5e-05	0.000618758
96	CG10664	FBgn0032833	2L:19958706-19960004	young	old	1827.36	847.812	-1.10794	-1.76943	5e-05	0.000618758
97	CG10680	FBgn0032836	2L:19964172-19965493	young	old	437.075	742.473	0.764458	1.13358	0.00365	0.0226853
98	CG10713	FBgn0036360	3L:13421938-13428329	young	old	5.08935	2.46245	-1.04739	-1.28908	0.00315	0.0201287
99	CG10731	FBgn0034081	2R:12030654-12037121	young	old	24.2622	13.9068	-0.802916	-1.1242	0.0077	0.0407054
100	CG10741	FBgn0036373	3L:13479903-13495504	young	old	1.90509	5.06905	1.41185	1.51345	0.00085	0.0069335
101	CG10799	FBgn0033821	2R:9145390-9145997	young	old	152.632	384.215	1.33186	2.40047	5e-05	0.000618758
102	CG10804	FBgn0029663	X:3370708-3376355	young	old	11.1288	4.44675	-1.32348	-2.29951	5e-05	0.000618758
103	CG10814	FBgn0033830	2R:9263475-9265219	young	old	0.552096	39.7592	6.17022	4.2546	5e-05	0.000618758
104	CG10824	FBgn0038865	3R:16966462-17038409	young	old	10.0458	39.9282	1.99081	1.59377	0.00095	0.00759689
105	CG10830	FBgn0038839	3R:16720173-16723042	young	old	63.2995	26.3535	-1.2642	-2.32956	5e-05	0.000618758
106	CG10882	FBgn0262126	2L:2231776-2236826	young	old	12.2892	18.4025	0.582506	1.10743	0.006	0.0335725
107	CG1090	FBgn0037238	3R:185509-192577	young	old	12.1155	7.36659	-0.717789	-1.27529	0.00235	0.0159012
108	CG10916	FBgn0034312	2R:14061175-14062195	young	old	17.1713	38.2874	1.15687	1.86375	5e-05	0.000618758
109	CG1092	FBgn0037228	3R:92675-94166	young	old	16.5054	50.5357	1.61437	2.64602	5e-05	0.000618758
110	CG10932	FBgn0029969	X:7781299-7782785	young	old	49.3838	84.6185	0.776937	1.42928	5e-04	0.00444627
111	CG10936	FBgn0034253	2R:13492455-13526639	young	old	2.81886	0.376065	-2.90606	-2.02601	0.0065	0.0356751
112	CG10947	FBgn0032857	2L:20385292-20399394	young	old	23.3122	6.06719	-1.94199	-3.26567	5e-05	0.000618758
113	CG10960	FBgn0036316	3L:12817981-12836205	young	old	78.276	190.708	1.28472	2.15732	5e-05	0.000618758
114	CG10962	FBgn0030073	X:8801100-8947352	young	old	14.196	62.8808	2.14713	1.60867	0.00355	0.0221625
115	CG11015	FBgn0031830	2L:6557799-6559308	young	old	708.617	351.412	-1.01184	-1.78691	5e-05	0.000618758
116	CG11034	FBgn0031741	2L:5805478-5808858	young	old	2.64122	8.66319	1.71369	1.97146	5e-05	0.000618758
117	CG11044	FBgn0034484	2R:16119335-16122438	young	old	6.8916	3.64346	-0.919527	-1.21803	0.00285	0.0186261
118	CG11050	FBgn0031836	2L:6611022-6617064	young	old	138.357	71.2696	-0.95704	-1.72457	5e-05	0.000618758
119	CG11063	FBgn0030530	X:13720362-13724347	young	old	2.18298	4.18597	0.939263	1.13058	0.00865	0.0445457
120	CG11089	FBgn0039241	3R:20702789-20720327	young	old	82.9745	416.654	2.32811	3.38282	5e-05	0.000618758
121	CG11099	FBgn0034485	2R:16123739-16126904	young	old	47.9313	23.1237	-1.0516	-1.71766	5e-05	0.000618758
122	CG11120	FBgn0039250	3R:20748167-20750882	young	old	0.62405	1.93002	1.62888	1.56751	3e-04	0.00290595
123	CG11122	FBgn0030266	X:11006427-11017631	young	old	0.339321	0.832694	1.29513	1.37194	9e-04	0.00726849
124	CG11155	FBgn0039927	4:1147232-1156547	young	old	124.491	69.8717	-0.833261	-1.45661	5e-04	0.00444627
125	CG11191	FBgn0033249	2R:3888153-3889625	young	old	24.9206	14.4169	-0.78958	-1.29818	0.00155	0.0114134
126	CG11198	FBgn0033246	2R:3861619-3874729	young	old	75.9488	157.997	1.0568	1.55823	5e-05	0.000618758
127	CG11206	FBgn0034720	2R:18220630-18260610	young	old	29.4584	18.4902	-0.67192	-1.26134	0.0024	0.0161946
128	CG11211	FBgn0033067	2R:2068423-2069131	young	old	209.534	26.074	-3.0065	-4.36846	5e-05	0.000618758
129	CG11221	FBgn0031855	2L:6742507-6755686	young	old	7.35388	2.92466	-1.33024	-1.75741	5e-05	0.000618758
130	CG11236	FBgn0031860	2L:6803032-6804372	young	old	49.8212	82.6641	0.730501	1.3186	0.00115	0.00886935
131	CG11242	FBgn0034451	2R:15372998-15374340	young	old	22.443	37.6911	0.74796	1.32029	0.00105	0.0082679
132	CG1129	FBgn0037279	3R:639057-641747	young	old	16.9132	27.9993	0.727243	1.30476	0.00205	0.0141858
133	CG11293	FBgn0265052	2R:19573201-19575503	young	old	64.8928	14.9481	-2.1181	-3.32805	5e-05	0.000618758
134	CG11294	FBgn0030058	X:8586075-8587587	young	old	8.14109	2.96369	-1.45783	-1.44276	0.0017	0.0123228
135	CG11309	FBgn0037070	3L:21295375-21297562	young	old	76.9972	124.977	0.698788	1.28859	0.0018	0.012942
136	CG11317	FBgn0039816	3R:26916428-26923040	young	old	37.5786	21.0172	-0.83834	-1.57971	1e-04	0.00115824
137	CG11319	FBgn0031835	2L:6568389-6601066	young	old	8.55965	5.12778	-0.739218	-1.29343	0.00155	0.0114134
138	CG11353	FBgn0035557	3L:4533171-4539281	young	old	1.13348	2.99974	1.40408	1.41999	0.00245	0.0164411
139	CG11357	FBgn0035558	3L:4542128-4553458	young	old	17.9622	11.0255	-0.704118	-1.26452	0.0026	0.0172814
140	CG1136	FBgn0035490	3L:4046610-4059665	young	old	16.2663	10.4753	-0.634891	-1.09253	0.00635	0.035029
141	CG11378	FBgn0040364	X:1065461-1066775	young	old	48.8523	27.0783	-0.85129	-1.49271	2e-04	0.00208188
142	CG11380	FBgn0040359	X:1085443-1090705	young	old	3.28306	0.0700873	-5.54974	-3.58827	5e-05	0.000618758
143	CG11388	FBgn0034959	2R:19909895-19911507	young	old	103.067	38.8894	-1.40614	-2.6726	5e-05	0.000618758
144	CG11395	FBgn0034200	2R:13024745-13026337	young	old	199.462	390.909	0.970718	1.57269	5e-05	0.000618758
145	CG11400	FBgn0034198	2R:13021661-13022357	young	old	142.515	255.904	0.844486	1.49977	0.00015	0.00164377
146	CG11426	FBgn0037166	3L:22463657-22466609	young	old	9.91693	21.8934	1.14253	1.74933	5e-05	0.000618758
147	CG1143	FBgn0035359	3L:2645375-2646605	young	old	28.0316	13.9266	-1.00921	-1.58593	0.00015	0.00164377
148	CG11437	FBgn0037165	3L:22461963-22462960	young	old	1.19488	0.204022	-2.55007	-1.25671	0.0093	0.0471715
149	CG11489	FBgn0025702	3L:22267108-22277436	young	old	14.1541	9.42962	-0.58595	-1.0958	0.00755	0.0401078
150	CG11501	FBgn0039666	3R:25319573-25319987	young	old	4.40364	32.1524	2.86816	2.17899	0.00015	0.00164377
151	CG11550	FBgn0039864	3R:27503948-27505602	young	old	154.855	75.0075	-1.04581	-1.85685	5e-05	0.000618758
152	CG11576	FBgn0039882	3R:27632587-27635907	young	old	29.0688	19.6005	-0.568583	-1.06025	0.00765	0.0405068
153	CG11577	FBgn0036847	3L:19087989-19089326	young	old	21.8614	35.181	0.686413	1.2463	0.00235	0.0159012
154	CG11594	FBgn0035484	3L:4021438-4026009	young	old	67.7849	139.313	1.0393	1.66519	2e-04	0.00208188
155	CG11652	FBgn0036194	3L:11686978-11690086	young	old	19.4558	32.7219	0.750057	1.35461	0.00145	0.0108075
156	CG11655	FBgn0030638	X:15347517-15356368	young	old	6.72576	16.3373	1.2804	1.63442	2e-04	0.00208188
157	CG11658	FBgn0036196	3L:11693187-11701663	young	old	26.7074	12.8817	-1.05191	-1.85921	5e-05	0.000618758
158	CG11671	FBgn0037562	3R:4113660-4114340	young	old	0.5152	7.23826	3.81244	2.36366	2e-04	0.00208188
159	CG11739	FBgn0037239	3R:204385-206932	young	old	196.541	300.056	0.610403	1.09551	0.00955	0.0483141
160	CG11752	FBgn0030292	X:11244031-11244527	young	old	376.642	148.178	-1.34586	-2.54534	5e-05	0.000618758
161	CG11790	FBgn0039265	3R:20873421-20875177	young	old	77.6353	122.739	0.660813	1.24914	0.0018	0.012942
162	CG11796	FBgn0036992	3L:20429356-20432968	young	old	88.918	224.228	1.33442	2.22982	5e-05	0.000618758
163	CG11825	FBgn0033519	2R:6307918-6308572	young	old	2.5425	14.0252	2.4637	2.0659	0.00015	0.00164377
164	CG11835	FBgn0031264	2L:560793-563303	young	old	3.55757	1.16827	-1.60653	-1.6497	6e-04	0.00516159
165	CG11841	FBgn0039628	3R:24876777-24877989	young	old	93.5204	215.212	1.2024	2.12598	5e-05	0.000618758
166	CG11842	FBgn0039629	3R:24878401-24879635	young	old	61.2422	99.4477	0.699412	1.25341	0.0023	0.0156061
167	CG11843	FBgn0039630	3R:24880243-24881559	young	old	1.98291	20.5392	3.37269	2.79719	5e-05	0.000618758
168	CG11851	FBgn0039293	3R:21047314-21049840	young	old	6.14356	10.1297	0.721439	1.13024	0.00635	0.035029
169	CG11852	FBgn0039297	3R:21063346-21064617	young	old	11.5992	6.14641	-0.916205	-1.07871	0.0072	0.0387119
170	CG11874	FBgn0039634	3R:24934774-24938542	young	old	25.8192	16.8397	-0.616583	-1.17765	0.0038	0.0233647
171	CG11878	FBgn0039310	3R:21099558-21100960	young	old	0.114455	1.28904	3.49345	1.77683	0.00125	0.00952028
172	CG11883	FBgn0033538	2R:6505168-6528718	young	old	17.0122	8.98661	-0.920723	-1.66356	5e-05	0.000618758
173	CG11892	FBgn0039313	3R:21107269-21108964	young	old	6.01417	2.49411	-1.26984	-1.39406	0.002	0.0139088
174	CG11893	FBgn0039316	3R:21115610-21117088	young	old	12.1124	115.029	3.24744	5.17244	5e-05	0.000618758
175	CG11897	FBgn0039644	3R:24983846-24990694	young	old	8.50705	14.2343	0.742642	1.39544	8e-04	0.00660287
176	CG11899	FBgn0014427	3R:25026173-25028247	young	old	173.708	524.862	1.59528	2.62313	5e-05	0.000618758
177	CG11909	FBgn0261575	3R:21165973-21172634	young	old	31.1505	296.088	3.2487	3.45811	5e-05	0.000618758
178	CG11910	FBgn0039332	3R:21173089-21298778	young	old	64.7738	22.6467	-1.51611	-2.06178	5e-05	0.000618758
179	CG11919	FBgn0033564	2R:6767457-6772441	young	old	82.5008	203.336	1.30139	2.00743	5e-05	0.000618758
180	CG11951	FBgn0039656	3R:25061085-25064394	young	old	8.56455	27.2837	1.67159	2.78522	5e-05	0.000618758
181	CG12012	FBgn0035444	3L:3376756-3377687	young	old	61.6663	100.738	0.708057	1.33699	0.00095	0.00759689
182	CG12024	FBgn0035283	3L:1857166-1859047	young	old	36.7776	24.3481	-0.595015	-1.07826	0.00825	0.0428701
183	CG12026	FBgn0262624	3L:1885658-1891470	young	old	2.4177	0.505478	-2.25791	-1.71503	1e-04	0.00115824
184	CG12030	FBgn0035147	3L:648516-651313	young	old	39.2869	77.7336	0.984491	1.68038	5e-05	0.000618758
185	CG12038	FBgn0035179	3L:993987-995703	young	old	32.5443	16.5009	-0.979858	-1.71141	5e-05	0.000618758
186	CG12079	FBgn0266582	3L:3158489-3159573	young	old	288.414	152.153	-0.922623	-1.68727	5e-05	0.000618758
187	CG1208	FBgn0037386	3R:1655783-1664504	young	old	17.7298	9.41681	-0.912866	-1.47748	0.00035	0.00330503
188	CG12082	FBgn0035402	3L:3145404-3148358	young	old	5.36788	9.358	0.801847	1.19471	0.00145	0.0108075
189	CG12090	FBgn0035227	3L:1523411-1534034	young	old	23.228	36.3662	0.646733	1.12357	0.0073	0.0391203
190	CG12118	FBgn0030101	X:9087974-9090494	young	old	51.6597	30.0009	-0.784035	-1.39014	6e-04	0.00516159
191	CG12119	FBgn0030102	X:9100152-9104580	young	old	4.55121	2.18048	-1.06161	-1.13526	0.00635	0.035029
192	CG12171	FBgn0037354	3R:1459345-1461346	young	old	33.7029	77.307	1.19773	2.14755	5e-05	0.000618758
193	CG12194	FBgn0031636	2L:4839218-4841465	young	old	55.5584	34.0241	-0.70745	-1.33846	0.00145	0.0108075
194	CG12203	FBgn0031021	X:19386455-19388434	young	old	266.096	129.542	-1.03853	-1.91277	5e-05	0.000618758
195	CG12206	FBgn0029662	X:3359769-3368553	young	old	0.987524	0.103445	-3.25495	-1.76365	5e-05	0.000618758
196	CG12213	FBgn0260742	3R:7791011-7793236	young	old	29.6471	19.3715	-0.613954	-1.15283	0.0053	0.0304407
197	CG12214	FBgn0265512	2R:6029844-6079899	young	old	87.8087	43.3982	-1.01673	-1.56671	2e-04	0.00208188
198	CG12224	FBgn0037974	3R:7806553-7807743	young	old	3.79721	10.3922	1.45249	1.37558	4e-04	0.00369149
199	CG12256	FBgn0038002	3R:8051003-8052061	young	old	1.62111	57.9812	5.16053	4.64704	5e-05	0.000618758
200	CG12268	FBgn0039131	3R:19769349-19774141	young	old	4.05339	12.9477	1.6755	2.12468	5e-05	0.000618758
201	CG12269	FBgn0038665	3R:14804022-14804531	young	old	276.359	129.092	-1.09814	-1.86973	5e-05	0.000618758
202	CG12355	FBgn0040805	3L:15486063-15491155	young	old	94.0824	56.4599	-0.736698	-1.16479	0.0052	0.0300253
203	CG12400	FBgn0031505	2L:3145124-3145719	young	old	739.125	396.015	-0.900263	-1.69437	5e-05	0.000618758
204	CG12402	FBgn0038202	3R:9930594-9933878	young	old	7.30068	4.49435	-0.699919	-1.10083	0.00665	0.0363553
205	CG12483	FBgn0040688	3L:97618-98371	young	old	7.87589	0.606751	-3.69827	-2.26105	0.00035	0.00330503
206	CG12484	FBgn0086604	2R:16311839-16366459	young	old	11.8306	7.38893	-0.679081	-1.17404	0.0051	0.0295879
207	CG12520	FBgn0036324	3L:12894474-12895674	young	old	1.28538	3.96262	1.62426	1.28215	0.006	0.0335725
208	CG12560	FBgn0031974	2L:8008320-8009477	young	old	19.2329	35.1332	0.869258	1.46353	4e-04	0.00369149
209	CG1265	FBgn0035517	3L:4254773-4259152	young	old	84.8395	46.6468	-0.862959	-1.30518	0.00225	0.0153201
210	CG1268	FBgn0035521	3L:4262699-4263464	young	old	348.44	156.24	-1.15715	-1.93647	5e-05	0.000618758
211	CG1275	FBgn0035321	3L:2252743-2257409	young	old	188.591	106.726	-0.821341	-1.56082	2e-04	0.00208188
212	CG12766	FBgn0035476	3L:3938623-3940084	young	old	2.19614	8.10136	1.88319	1.5747	9e-04	0.00726849
213	CG12795	FBgn0031535	2L:3452450-3453596	young	old	35.1647	22.6778	-0.63285	-1.06002	0.00745	0.0397279
214	CG12851	FBgn0035086	2R:20836169-20842004	young	old	6.36497	3.7713	-0.75509	-1.3259	0.00095	0.00759689
215	CG12858	FBgn0033958	2R:10627870-10632834	young	old	39.1652	19.3613	-1.01639	-1.91677	5e-05	0.000618758
216	CG12859	FBgn0033961	2R:10644025-10645334	young	old	390.586	193.939	-1.01004	-1.67648	1e-04	0.00115824
217	CG12868	FBgn0033945	2R:10492051-10492840	young	old	22.9753	71.4757	1.63737	2.74661	5e-05	0.000618758
218	CG12896	FBgn0033521	2R:6314384-6315418	young	old	4.13238	12.6318	1.61202	1.51704	2e-04	0.00208188
219	CG12994	FBgn0040877	X:17316352-17338027	young	old	13.918	3.85657	-1.85156	-2.00827	5e-05	0.000618758
220	CG13041	FBgn0036605	3L:16312053-16312621	young	old	4.09033	0	NA	NA	5e-05	0.000618758
221	CG13044	FBgn0036599	3L:16295590-16296260	young	old	14.3389	0	NA	NA	5e-05	0.000618758
222	CG13056	FBgn0040794	3L:16326412-16326882	young	old	52.5235	0.535093	-6.61703	-4.20948	5e-04	0.00444627
223	CG13067	FBgn0036589	3L:16264401-16265018	young	old	53.1324	11.1128	-2.25737	-2.6136	5e-05	0.000618758
224	CG13077	FBgn0032810	2L:19565862-19567359	young	old	66.6604	130.419	0.968254	1.74023	5e-05	0.000618758
225	CG13086	FBgn0032770	2L:19364393-19365397	young	old	31.9002	67.3916	1.079	1.65728	2e-04	0.00208188
