Affy ID,Q value (Age),Old,Young,Fold Change (Young/Old),Fold Change (Old/Young),FlyBase ID,Symbol,Name
 141492_at,0.000827283,55.3375,104.6875,1.9,0.5,FBgn0030242,CG1655,---
 141495_at,0.000499816,136.925,82.9625,0.6,1.7,FBgn0004687,Mlc-c,Myosin light chain cytoplasmic
 141527_at,0.02755965,269.3375,218.5125,0.8,1.2,FBgn0023479,Tequila,---
 141531_at,0.007146277,117.7,89.275,0.8,1.3,---,---,---
 141532_at,0.03249946,63.475,77.4,1.2,0.8,FBgn0032339,CG4705,---
 141541_at,0.002200457,356.1125,195.65,0.5,1.8,FBgn0034501,CG13868,---
 141544_at,0.004017154,50.5125,29.3125,0.6,1.7,FBgn0032006,Pvr,PDGF- and VEGF-receptor related
 141546_at,0.03175752,59.4875,84.2875,1.4,0.7,FBgn0037250,CG1074,---
 141548_at,0.0013106,60.675,39,0.6,1.6,FBgn0029095,aru,arouser
 141549_at,0.01087701,38.35,57.3375,1.5,0.7,FBgn0036043,CG8177,---
 141551_at,0.0332441,18.5125,26.1125,1.4,0.7,FBgn0035987,CG3689,---
 141569_at,0.02229515,32.3875,53.8625,1.7,0.6,FBgn0039122,CG10192,---
 141573_at,0.02105488,174.6875,128.2875,0.7,1.4,FBgn0031362,CG17646,---
 141575_at,0.01654008,38.075,51.7875,1.4,0.7,FBgn0020647,KrT95D,Krueppel target at 95D
 141578_at,0.005356886,76.3625,50.7,0.7,1.5,FBgn0046763,CG17278,---
 141581_at,0.04604013,57.9375,41.7625,0.7,1.4,FBgn0034063,CG8389,---
 141583_at,0.02422714,70.6875,41.0875,0.6,1.7,FBgn0033980,Cyp6a20,---
 141588_at,0.01027112,40.5625,57.2875,1.4,0.7,FBgn0003742,tra2,transformer 2
 141594_at,0.009635318,43.5,66.3125,1.5,0.7,FBgn0031817,CG9531,---
 141597_at,0.03010086,17.1375,27.65,1.6,0.6,FBgn0037093,CG7597,---
 141598_at,0.003560043,43.5625,24.55,0.6,1.8,FBgn0032731,CG10641,---
 141603_at,0.02260777,25.65,19.4375,0.8,1.3,FBgn0027079,Aats-val,Valyl-tRNA synthetase
 141608_at,0.02677838,30.575,48.6875,1.6,0.6,FBgn0033156,Incenp,Inner centromere protein
 141617_at,0.01553071,231.425,314.6875,1.4,0.7,FBgn0010339,128up,upstream of RpIII128
 141618_at,0.04258223,293.6125,259.05,0.9,1.1,FBgn0011341,Kary3,Karyopherin  3
 141619_at,0.01269494,100.6625,76.45,0.8,1.3,FBgn0021953,Fatp,Fatty acid (long chain) transport protein
 141625_at,0.000367094,231.95,138.5625,0.6,1.7,FBgn0003660,Syb,Synaptobrevin
 141626_at,0.00093097,270.575,77.625,0.3,3.5,FBgn0030993,CG7635,---
 141633_at,0.03532315,26.45,18.1375,0.7,1.5,FBgn0032036,CG13384,---
 141635_at,0.01132041,66.2625,95.6375,1.4,0.7,FBgn0034964,CG3173,---
 141636_at,0.04555515,100.5375,89.25,0.9,1.1,FBgn0039776,PH4EFB,prolyl-4-hydroxylase-alpha EFB
 141641_at,0.01928263,100.925,88.5125,0.9,1.1,FBgn0014141,cher,cheerio
 141647_at,0.02109527,70.9,54.0875,0.8,1.3,FBgn0035436,CG12016,---
 141658_at,0.0192153,90.35,59.6875,0.7,1.5,FBgn0032167,CG5853,---
 141662_at,0.04673661,40.7625,33.9,0.8,1.2,---,---,---
 141675_at,0.02105488,9.9375,14.3,1.4,0.7,FBgn0026086,Adar,Adenosine deaminase acting on RNA
 141678_at,0.000934709,54.2125,40.9875,0.8,1.3,FBgn0030318,rho-4,rhomboid-4
 141679_at,0.003549989,57.4,84.425,1.5,0.7,FBgn0025684,CG15438,---
 141681_at,0.01997197,30.1875,44.5875,1.5,0.7,FBgn0030235,Imp,IGF-II mRNA-binding protein
 141682_at,0.003162393,940.125,675.1125,0.7,1.4,FBgn0029093,cathD,---
 141685_at,0.005320173,80.6625,50.1875,0.6,1.6,FBgn0037515,CG3066,---
 141688_at,0.002484867,146.3875,91.7125,0.6,1.6,FBgn0001257,ImpL2,Ecdysone-inducible gene L2
 141692_at,0.03357615,91.525,74.1,0.8,1.2,---,---,---
 141694_at,0.0299926,84.0875,60.15,0.7,1.4,FBgn0033844,CG6016,---
 141697_at,0.001342952,113.6125,86.475,0.8,1.3,FBgn0010225,Gel,Gelsolin
 141700_at,0.02029492,85.1125,74.975,0.9,1.1,FBgn0038360,CG9590,---
 141701_at,0.003814533,123.8125,51.175,0.4,2.4,FBgn0033205,CG2064,---
 141705_at,0.04208769,36.8625,53.75,1.5,0.7,FBgn0010660,Nup214,---
 141709_i_at,0.001316889,241.475,513.85,2.1,0.5,FBgn0003885,Tub84D,Tubulin at 84D
 141710_r_at,0.02229515,262.95,373.5375,1.4,0.7,FBgn0003885,Tub84D,Tubulin at 84D
 141711_at,0.0260057,74.5375,52.4,0.7,1.4,FBgn0035347,CG33232,---
 141712_at,0.02786953,65.0875,46.9375,0.7,1.4,FBgn0039774,CDase,Ceramidase
 141714_at,0.01702336,54.225,47.3,0.9,1.1,---,---,---
 141717_at,0.02078779,69.925,57.1375,0.8,1.2,FBgn0011708,Syx5,Syntaxin 5
 141732_at,0.002916799,70.8875,29.825,0.4,2.4,FBgn0004210,puc,puckered
 141735_at,0.01628971,27.4125,43.4375,1.6,0.6,FBgn0013753,Bgb,Big brother
 141736_at,0.003964914,59.9375,29.325,0.5,2.0,FBgn0039525,CG5646,---
 141741_at,0.03249951,29.55,17.875,0.6,1.7,FBgn0031490,CG17264,---
 141745_at,0.03023347,145.75,95.1625,0.7,1.5,FBgn0032482,Pect,Phosphoethanolamine cytidylyltransferase
 141748_at,0.0132886,115.75,185.9375,1.6,0.6,FBgn0052030,CG32030,---
 141753_at,0.04318188,56.9375,68.2,1.2,0.8,FBgn0039508,CG3368,---
 141761_at,0.025161,33.8125,19.3625,0.6,1.7,FBgn0036493,CG7255,---
 141762_at,0.01497148,1485.1125,1128.675,0.8,1.3,FBgn0013770,Cp1,Cysteine proteinase-1
 141767_at,0.04260055,26.8375,50.75,1.9,0.5,FBgn0003044,Pcl,Polycomblike
 141768_at,0.04683772,203.5375,247.9,1.2,0.8,FBgn0022708,Adk2,Adenylate kinase-2
 141773_at,0.02541357,34.4375,51.8375,1.5,0.7,FBgn0035039,CG3608,---
 141777_at,0.0260057,34.725,59.4625,1.7,0.6,FBgn0033073,bin3,bicoid-interacting protein 3
 141780_at,0.03840592,78.775,64,0.8,1.2,FBgn0015040,Cyp9c1,Cytochrome P450-9c1
 141784_at,0.04188372,17.9625,12.7,0.7,1.4,FBgn0003475,spir,spire
 141790_at,0.001526003,117.225,66.4375,0.6,1.8,FBgn0011661,Moe,Moesin-like
 141792_at,0.04958511,27.5125,21.8125,0.8,1.3,FBgn0034748,CG17807,---
 141793_at,0.02078779,61.0125,35.725,0.6,1.7,FBgn0029147,NtR,---
 141797_at,0.002480703,31.2625,60.9875,2.0,0.5,FBgn0029079,icln,---
 141800_at,0.03242136,15.7625,26.0375,1.7,0.6,FBgn0035149,Trap25,---
 141801_at,0.01915105,247.425,192.15,0.8,1.3,---,---,---
 141805_at,0.0430737,82.5125,66.1875,0.8,1.2,FBgn0024754,Flo,flotillin
 141808_at,0.02791032,64.5375,76.5375,1.2,0.8,FBgn0035375,pgant6,polypeptide GalNAc transferase 6
 141809_at,0.03768288,53.075,86.6125,1.6,0.6,FBgn0034447,CG7744,---
 141815_at,0.006372431,785.9375,512.45,0.7,1.5,FBgn0035438,PHGPx,---
 141828_at,0.02086463,26.375,16.45,0.6,1.6,---,---,---
 141915_at,0.01660699,37.625,18.5,0.5,2.0,---,---,---
 141959_at,0.02352164,36.325,25.85,0.7,1.4,---,---,---
 142047_at,0.01049863,43.0625,28.575,0.7,1.5,---,---,---
 142081_at,0.01992219,10.275,5.9625,0.6,1.7,---,---,---
 142088_at,0.01053778,28.15,18.8,0.7,1.5,---,---,---
 142125_at,0.02923172,21.95,17.1375,0.8,1.3,FBgn0001404,egh,egghead
 142131_at,0.03930601,25.675,18.3875,0.7,1.4,FBgn0034715,Oatp58Db,Organic anion transporting polypeptide 58Db
 142132_at,0.000820098,118.975,62.4125,0.5,1.9,FBgn0034716,Oatp58Dc,Organic anion transporting polypeptide 58Dc
 142141_at,0.009873362,26.8125,18.5,0.7,1.4,FBgn0039023,CG4723,---
 142142_at,0.005403346,117.675,57.9875,0.5,2.0,FBgn0039024,CG4721,---
 142143_at,0.01105954,52.0625,41.1,0.8,1.3,FBgn0016078,wun,wunen
 142155_at,0.03315773,19.1625,50.35,2.6,0.4,FBgn0030050,CG12111,---
 142156_at,0.03768887,15.0625,7.325,0.5,2.1,FBgn0030051,CG2056,---
 142157_at,0.000524269,656.475,1484.9625,2.3,0.4,FBgn0038277,RpS5b,Ribosomal protein S5b
 142160_at,0.04544351,8.5,17.2875,2.0,0.5,FBgn0035262,CG18171,---
 142165_at,0.04753624,126.7625,105.3375,0.8,1.2,FBgn0031245,CG3625,---
 142169_at,0.02800206,31.6,24.575,0.8,1.3,FBgn0038749,CG4468,---
 142170_at,0.02505055,69.7375,60.9125,0.9,1.1,FBgn0011837,Tis11,Tis11 homolog
 142185_at,0.02297174,32.6375,48.35,1.5,0.7,FBgn0026433,Grip128,---
 142189_at,0.02196219,109.1625,51.3375,0.5,2.1,FBgn0013772,Cyp6a8,Cytochrome P450-6a8
 142195_at,0.03661961,37.7375,64.8875,1.7,0.6,FBgn0034403,CG18190,---
 142201_at,0.000998182,812.725,473.6625,0.6,1.7,FBgn0034663,CG4363,---
 142202_at,0.004655871,72.675,43.8375,0.6,1.7,FBgn0034664,CG4377,---
 142212_at,0.01576942,84.5375,60.5125,0.7,1.4,FBgn0010651,l(2)08717,---
 142220_at,0.03092605,50.9125,74.675,1.5,0.7,FBgn0033367,CG8193,---
 142222_at,0.03075889,350.0125,264.125,0.8,1.3,FBgn0015039,Cyp9b2,Cytochrome P450-9b2
 142223_at,0.04406877,71.3375,86.0375,1.2,0.8,FBgn0029801,CG15771,---
 142244_at,0.02096246,19.7,15.4,0.8,1.3,FBgn0032512,CG9305,---
 142252_at,0.0455867,23.8,33.7,1.4,0.7,FBgn0031554,CG15418,---
 142254_at,0.0013106,60.7,43.5375,0.7,1.4,FBgn0039326,CG10562,---
 142258_at,0.03146608,51.075,34.0875,0.7,1.5,FBgn0035476,CG12766,---
 142262_at,0.006036363,192.925,137.3,0.7,1.4,FBgn0033448,CG1623,---
 142269_at,0.007586492,728.9875,915.5,1.3,0.8,FBgn0004363,porin,porin
 142277_at,0.0041651,33.75,15.8,0.5,2.1,FBgn0032010,CG8086,---
 142280_at,0.02220461,30.1875,47.9125,1.6,0.6,FBgn0020306,dom,domino
 142293_at,0.02029492,56.2375,80.7125,1.4,0.7,FBgn0001296,kar,karmoisin
 142295_at,0.01319132,655.9,478.025,0.7,1.4,FBgn0011726,tsr,twinstar
 142309_at,0.04043372,38.675,30.1,0.8,1.3,FBgn0032073,CG9487,---
 142314_at,0.01782143,651.25,504.6875,0.8,1.3,FBgn0035871,CG7188,---
 142321_at,0.04040603,179.6125,386.375,2.2,0.5,FBgn0030277,CG1394,---
 142324_at,0.01760505,51.4375,39.0625,0.8,1.3,FBgn0045761,CG10618,---
 142335_at,0.009303211,297.4875,207.975,0.7,1.4,FBgn0037063,CG9391,---
 142336_at,0.01963086,41.5875,83.825,2.0,0.5,FBgn0037064,CG9389,---
 142340_at,0.0283382,43.3125,33.6125,0.8,1.3,FBgn0016013,Faa,Fumarylacetoacetase
 142349_at,0.00223727,18.3625,11.5625,0.6,1.6,FBgn0041710,yellow-f,yellow-f
 142357_at,0.02298771,45.775,32.25,0.7,1.4,FBgn0026090,CG14812,---
 142358_at,0.01515399,87.0875,63.5,0.7,1.4,FBgn0028969,COP,coatomer protein
 142360_at,0.02561329,7.7375,16.5625,2.1,0.5,FBgn0033887,CG6704,---
 142364_at,0.01361765,59.1625,45.4375,0.8,1.3,FBgn0042712,HBS1,---
 142374_at,0.00462241,134.9125,90.675,0.7,1.5,FBgn0038349,CG6045,---
 142386_at,0.008275753,228.65,146.025,0.6,1.6,FBgn0034247,CG6484,---
 142390_at,0.04303344,228.225,158.75,0.7,1.4,FBgn0031538,CG3246,---
 142399_at,0.009991921,221.0125,339.325,1.5,0.7,FBgn0033631,CG9027,---
 142404_s_at,0.006119711,21.3625,54.7625,2.6,0.4,FBgn0046225,CG17230,---
 142415_at,0.000352391,176.9625,54.7625,0.3,3.2,FBgn0013305,Nmda1,N-methyl-D-aspartate receptor-associated protein
 142416_at,0.005328067,123.025,74.075,0.6,1.7,FBgn0025692,CG3814,---
 142419_at,0.01555593,385.15,1105.7375,2.9,0.3,FBgn0030098,CG12057,---
 142428_at,0.008275753,56.6,76.825,1.4,0.7,FBgn0031300,CG4644,---
 142442_at,0.04952238,33.1125,29.8625,0.9,1.1,FBgn0038857,CG17282,---
 142450_at,0.03265258,31.8625,44.9,1.4,0.7,---,---,---
 142457_at,0.01703007,96.425,132.125,1.4,0.7,FBgn0022344,CG10340,---
 142462_at,0.03146608,354.7875,309.475,0.9,1.1,FBgn0034902,CG5532,---
 142479_at,0.01701133,83.1125,55.6875,0.7,1.5,---,---,---
 142480_at,0.0345811,505.05,371.55,0.7,1.4,---,---,---
 142488_s_at,0.04657918,82.8375,103.825,1.3,0.8,FBgn0037930,CG14715,---
 142493_at,0.0174829,64.1375,91.125,1.4,0.7,FBgn0039233,CG7006,---
 142494_at,0.0151177,1247.125,1662.75,1.3,0.8,FBgn0003360,sesB,stress-sensitive B
 142498_at,0.003653722,373.95,679.15,1.8,0.6,FBgn0039830,CG1746,---
 142506_at,0.0198179,28.3625,23.4,0.8,1.2,FBgn0031675,CG9121,---
 142508_at,0.03700249,357.9875,471.4,1.3,0.8,FBgn0034802,CG3800,---
 142510_at,0.033147,102.7125,132.625,1.3,0.8,FBgn0024556,EfTuM,Elongation factor Tu mitochondrial
 142512_at,0.04397645,32.725,43.2875,1.3,0.8,FBgn0035593,CG4603,---
 142513_at,0.04084428,40.9875,50.6,1.2,0.8,FBgn0032479,CG16974,---
 142515_at,0.001254872,150.6375,72.7375,0.5,2.1,FBgn0020439,fau,---
 142516_at,0.03730668,72.9375,99.775,1.4,0.7,FBgn0035720,CG10077,---
 142517_at,0.005322352,22.15,33.45,1.5,0.7,FBgn0035128,RhoGEF3,---
 142520_at,0.01188505,487.825,571.6125,1.2,0.9,FBgn0002921,Atp,Na pump  subunit
 142523_at,0.000380397,103.6125,373.05,3.6,0.3,FBgn0038181,CG9297,---
 142532_at,0.0302635,49.6,43.5375,0.9,1.1,FBgn0036298,CG10627,---
 142537_at,0.01344517,328.425,242.2125,0.7,1.4,---,---,---
 142546_at,0.003544402,35.1625,20.4,0.6,1.7,FBgn0037560,CG18228,---
 142558_s_at,0.01008126,119.625,80.0875,0.7,1.5,FBgn0027066,Eb1,---
 142569_at,0.009286368,34.4375,57.0375,1.7,0.6,FBgn0003423,slgA,sluggish A
 142574_at,0.01154158,103.85,93.5875,0.9,1.1,FBgn0035765,CG8600,---
 142575_at,0.03468523,47.6875,65.75,1.4,0.7,FBgn0035766,eco,---
 142578_at,0.0053219,12.5,21.4375,1.7,0.6,---,---,---
 142583_at,0.008483946,231.325,669.1375,2.9,0.3,FBgn0034497,CG9090,---
 142586_at,0.007147539,88.3875,62.8625,0.7,1.4,FBgn0038981,CG5346,---
 142600_at,0.0423632,25.2,31.2875,1.2,0.8,FBgn0032454,CG5787,---
 142603_at,0.03315625,26.0125,38.575,1.5,0.7,FBgn0024360,CG11418,---
 142612_at,0.01123383,66.775,132.45,2.0,0.5,FBgn0037615,CG11760,---
 142619_at,0.01262198,21.775,36.1,1.7,0.6,FBgn0033610,CG18335,---
 142634_at,0.0129717,17.9,31.175,1.7,0.6,FBgn0034087,CG8443,---
 142638_at,0.009303211,134.025,104.7125,0.8,1.3,FBgn0014029,2-Sep,Septin-2
 142639_at,0.00212942,111.8875,72.3875,0.6,1.5,FBgn0038809,CG16953,---
 142643_at,0.04816949,33.95,46.625,1.4,0.7,FBgn0032078,CG9520,---
 142650_s_at,0.04673661,11.7375,9.2125,0.8,1.3,---,---,---
 142653_at,0.02625872,70.4875,87.05,1.2,0.8,FBgn0034058,CG8315,---
 142655_at,0.03911342,192.5,205.05,1.1,0.9,FBgn0038395,CG10407,---
 142657_at,0.005102229,633.7875,219.6125,0.3,2.9,FBgn0043578,PGRP-SB1,---
 142667_at,0.01875396,36.0625,49.6,1.4,0.7,FBgn0038927,CG6015,---
 142672_at,0.006930854,100.625,74.7125,0.7,1.3,FBgn0039099,CG10157,---
 142674_at,0.001088364,187.7125,139.5375,0.7,1.3,FBgn0032005,Snx6,---
 142675_at,0.002096669,70.6,168.175,2.4,0.4,FBgn0027512,CG10254,---
 142677_s_at,0.0355331,42.625,26.7375,0.6,1.6,FBgn0020386,Pk61C,Protein kinase 61C
 142678_at,0.03577111,49.9875,48.525,1.0,1.0,FBgn0001104,G-i65A,G protein i subunit 65A
 142680_at,0.02229515,19.775,36.25,1.8,0.5,FBgn0035952,CG5280,---
 142690_at,0.03333612,80.5125,68.9625,0.9,1.2,FBgn0035371,CG9977,---
 142701_at,0.02057978,36.925,22.3125,0.6,1.7,FBgn0030006,CG17982,---
 142703_at,0.0332441,35.9625,57.425,1.6,0.6,FBgn0042094,Adk3,Adenylate kinase-3
 142706_at,0.02419499,39.6,54.9875,1.4,0.7,FBgn0036648,CG4098,---
 142714_at,0.03952542,47.5125,56.2875,1.2,0.8,FBgn0032172,CG5850,---
 142719_at,0.01628971,19.1,42.375,2.2,0.5,FBgn0036186,CG6071,---
 142736_s_at,0.02540191,196.3375,158.5375,0.8,1.2,FBgn0010611,Hmgs,HMG Coenzyme A synthase
 142737_at,0.000317767,186.55,72.2375,0.4,2.6,FBgn0037007,CG5059,---
 142746_at,0.02496863,401.3125,306.2625,0.8,1.3,FBgn0002719,Men,Malic enzyme
 142750_at,0.02336123,13.575,9.475,0.7,1.4,FBgn0015278,Pi3K68D,Phosphotidylinositol 3 kinase 68D
 142755_s_at,0.02636255,36.75,51.15,1.4,0.7,FBgn0027498,CG2061,---
 142756_at,0.000358316,488.8,250.6875,0.5,1.9,FBgn0030263,CG2076,---
 142758_at,0.0449064,20.8,14.7125,0.7,1.4,FBgn0024326,Mkk4,MAP kinase kinase 4
 142770_at,0.0299926,16.7,31.5875,1.9,0.5,FBgn0038233,CG8464,---
 142775_at,0.03185009,65.5625,106.8375,1.6,0.6,FBgn0000251,cad,caudal
 142783_at,0.02522733,8.3125,13.0625,1.6,0.6,FBgn0037620,CG9793,---
 142786_at,0.002641715,199.7875,260.55,1.3,0.8,FBgn0037530,CG2943,---
 142791_at,0.007608364,3220.2625,2671.4625,0.8,1.2,FBgn0004922,RpS6,Ribosomal protein S6
 142794_at,0.003653382,607.5625,414.325,0.7,1.5,FBgn0017581,Lk6,heat shock construct of Kidd
 142800_at,0.0287128,45.825,34.05,0.7,1.3,FBgn0003557,Su(dx),Suppressor of deltex
 142804_at,0.003165967,166.3,235.6125,1.4,0.7,FBgn0040286,SC35,---
 142806_at,0.002050767,26.4125,76.475,2.9,0.3,FBgn0010097,Tub37C,Tubulin at 37C
 142822_at,0.01388568,42.875,60.7375,1.4,0.7,FBgn0032727,CG10623,---
 142824_at,0.03389747,18.45,31.2625,1.7,0.6,FBgn0022768,Pp2C1,Protein phosphatase 2C
 142825_s_at,0.02878158,55.7125,80.9625,1.5,0.7,---,---,---
 142827_at,0.01866848,15.175,28.0125,1.8,0.5,FBgn0036398,CG9007,---
 142831_at,0.04262994,20.9125,43.4125,2.1,0.5,FBgn0035139,CG13891,---
 142836_at,0.001348875,101.0625,42.75,0.4,2.4,FBgn0052041,CG32041,---
 142837_at,0.00596912,32.225,29.525,0.9,1.1,FBgn0052041,CG32041,---
 142844_at,0.0204694,114.425,90.525,0.8,1.3,FBgn0034372,CG5469,---
 142852_at,0.00146129,29.4625,46.5875,1.6,0.6,FBgn0031664,CG8892,---
 142854_at,0.03785679,8.325,18.1875,2.2,0.5,FBgn0023180,Orc6,Origin recognition complex subunit 6
 142857_at,0.002952289,39.325,63.1625,1.6,0.6,FBgn0031896,CG4502,---
 142858_at,0.03962069,124.125,163.9,1.3,0.8,FBgn0016132,Chd1,Chromodomain-helicase-DNA-binding protein
 142860_at,0.004740446,17.025,24.775,1.5,0.7,FBgn0051108,CG31108,---
 142861_at,0.03477307,38.6,29.45,0.8,1.3,FBgn0015789,Rab10,Rab-protein 10
 142862_at,0.009303211,58.825,39.45,0.7,1.5,FBgn0032215,CG5385,---
 142864_at,0.000632101,323.8875,185.2875,0.6,1.7,FBgn0052190,NUCB1,---
 142872_at,0.03284925,121.7625,269.0625,2.2,0.5,FBgn0011704,RnrS,Ribonucleoside diphosphate reductase small subunit
 142875_at,0.03866902,80.7375,108.025,1.3,0.7,FBgn0032646,CG6412,---
 142893_at,0.002916799,91.9875,58.3875,0.6,1.6,FBgn0053113,Rtnl1,---
 142906_at,0.04036606,69.7,55.6,0.8,1.3,FBgn0036053,CG6718,---
 142909_at,0.01728384,31.475,47.6875,1.5,0.7,FBgn0053174,CG33174,---
 142916_at,0.01479512,22.5625,33.275,1.5,0.7,---,---,---
 142923_at,0.04319866,11.575,20.025,1.7,0.6,FBgn0030813,CG4949,---
 142926_at,0.006715917,148.7125,241.4875,1.6,0.6,FBgn0020615,SelD,"selenide,water dikinase"
 142927_at,0.03955453,144.8375,111.975,0.8,1.3,FBgn0033919,CG8547,---
 142928_at,0.03108641,19.5875,29.4,1.5,0.7,FBgn0036801,CG6896,---
 142936_at,0.03773029,9.9625,16.4,1.6,0.6,FBgn0038889,CG7922,---
 142945_at,0.02986434,72.6125,94.3625,1.3,0.8,FBgn0003189,r,rudimentary
 142953_at,0.01217451,135.4125,80.05,0.6,1.7,FBgn0030774,CG9675,---
 142954_at,0.0127248,346.8875,168.9,0.5,2.1,FBgn0034290,CG5773,---
 142967_at,0.00966008,90.55,69.975,0.8,1.3,FBgn0033504,CAP,antisense
 142969_at,0.003969171,621.8625,388.7375,0.6,1.6,FBgn0004629,Cys,Cystatin-like
 142971_at,0.001180841,70.7125,121,1.7,0.6,FBgn0003638,su(w<up>a</up>),suppressor of white-apricot
 142975_at,0.003234066,96.275,46.3125,0.5,2.1,FBgn0011673,Myo31DF,Myosin 31DF
 142984_at,0.02116129,51.35,89.775,1.7,0.6,FBgn0032050,CG13096,---
 142987_at,0.006212751,69.25,48.5125,0.7,1.4,---,---,---
 142988_at,0.04032564,1670.1625,1438.725,0.9,1.2,FBgn0032400,CG6770,---
