ProbeSet,FlyBase_ID,CT_ID,CG_ID,Symbol,"Cluster
{Aging_Girardot}","Cluster
{Body parts_Girardot}","Cluster
{Aging_Landis}","Cluster
{Aging_Pletcher}","Cluster
{SOMsexe_Parisi}",<Cs_Hd_40d/Cs_Hd_3d>
146087_at,FBgn0032117,CT14430,CG4435,FucTB,13,12,0,0,3,0.62
148957_at,FBgn0036728,CT23181,CG7580,CG7580,14,0,4,0,4,0.62
150843_at,FBgn0039694,CT8353,CG7615,fig,0,12,0,0,5,0.62
155114_at,FBgn0037362,CT7092,CG2179,CG2179,0,3,0,0,9,0.62
152945_at,FBgn0032800,CT28521,CG10137,CG10137,0,2,0,0,7,0.62
151911_at,FBgn0029843,CT18487,CG5905,Nep1,0,2,0,0,7,0.62
143824_at,FBgn0015583,CT39432,CG17797,Acp29AB,0,12,0,0,3,0.62
144083_at,FBgn0025642,CT31847,CG32812,CG32812,0,2,0,0,-1,0.62
154814_at,FBgn0000064,CT41919,CG6058,Ald,7,0,4,0,4,0.62
143827_at,FBgn0015586,CT12717,CG3801,Acp76A,13,9,5,0,5,0.63
151224_f_at,FBgn0040748,,CG13943,CG13943,13,0,0,0,-1,0.63
145796_at,FBgn0031654,CT25444,CG8869,CG8869,7,12,8,4,4,0.63
151507_at,FBgn0011589,CT16261,CG5076,elk,0,2,0,0,7,0.63
142303_at,FBgn0029155,CT18483,CG5889,Mdh,0,11,8,0,4,0.63
145567_at,FBgn0031323,CT16455,CG5139,CG5139,13,12,4,0,3,0.63
146216_at,FBgn0010612,CT19171,CG6105,l(2)06225,14,0,0,2,4,0.63
152611_at,FBgn0000422,CT38799,CG10697,Ddc,0,2,0,0,7,0.63
148577_at,FBgn0036162,CT19294,CG6140,CG6140,0,12,4,0,5,0.63
141593_at,FBgn0038862,CT18196,CG5798,CG5798,0,2,0,0,0,0.63
144181_at,FBgn0027491,CT17100,CG5387,Cdk5alpha,0,2,0,0,0,0.63
152409_at,FBgn0029753,CT13844,CG4198,CG4198,13,11,0,0,5,0.63
148901_at,FBgn0036642,CT13760,CG4169,CG4169,14,0,4,1,4,0.63
144261_at,FBgn0028850,CT35204,CG15260,CG15260,13,12,4,0,5,0.63
145689_at,FBgn0031501,CT35458,CG17261,CG17261,13,12,0,0,5,0.63
142081_at,FBgn0033398,,CG2049,CG2049,0,2,0,0,9,0.63
145042_at,FBgn0030536,CT30965,CG11068,CG11068,13,12,0,0,3,0.63
143896_at,FBgn0017566,CT7608,CG2286,ND75,7,0,4,0,4,0.63
150449_at,FBgn0039083,CT28615,CG10177,CG10177,13,12,0,0,3,0.63
149455_at,FBgn0037514,CT30585,CG10919,CG10919,0,12,0,0,5,0.63
145156_at,FBgn0030697,CT24957,CG8565,CG8565,13,12,0,0,3,0.63
142386_at,FBgn0034247,CT20199,CG6484,CG6484,8,10,8,0,4,0.63
154010_at,FBgn0027528,CT27236,CG9634,CG9634,9,0,0,0,4,0.63
154334_at,FBgn0035404,CT5438,CG12079,CG12079,10,0,0,0,4,0.63
152850_at,FBgn0038328,CT19304,CG6156,CG6156,0,2,0,0,6,0.63
149253_at,FBgn0052451,CT22775,CG32451,CG32451,0,2,0,0,-1,0.63
147235_at,FBgn0033999,CT22063,CG8093,CG8093,0,12,5,11,9,0.63
152636_at,FBgn0042132,CT33854,CG18809,CG18809,14,0,0,0,-1,0.63
152119_at,FBgn0015541,CT17468,CG5518,sda,0,6,0,0,9,0.63
148555_at,FBgn0036132,,CG18587,CG18587,0,12,4,0,-1,0.63
141644_at,FBgn0001309,CT12335,CG3696,kis,0,1,0,7,2,0.63
153410_at,FBgn0041630,CT2894,CG1318,Hexo1,7,0,0,0,6,0.63
146457_at,FBgn0032719,CT35076,CG17321,CG17321,9,2,0,0,7,0.64
151535_at,FBgn0026729,CT41507,CG18296,axo,0,12,4,0,0,0.64
145097_at,FBgn0030605,CT17572,CG5548,CG5548,7,0,0,1,4,0.64
154244_at,FBgn0001091,CT4014,CG12055,Gapdh1,14,0,0,0,9,0.64
151906_at,FBgn0038052,CT17502,CG5538,CG5538,0,12,0,0,5,0.64
154593_at,FBgn0034418,CT34996,CG15118,CG15118,8,0,0,0,3,0.64
149911_at,FBgn0038248,CT23840,CG7886,CG7886,13,9,4,0,5,0.64
152477_at,FBgn0052548,CT19682,CG32548,CG32548,7,12,4,0,5,0.64
153309_at,FBgn0037001,CT18892,CG6020,CG6020,7,0,4,0,0,0.64
145547_r_at,FBgn0031277,CT33495,CG13947,CG13947,7,11,1,0,7,0.64
146490_at,FBgn0032778,CT28127,CG9978,CG9978,8,11,0,0,7,0.64
151524_r_at,FBgn0051465,,CG31465,CG31465,0,9,0,0,-1,0.64
152731_at,FBgn0031526,CT11075,CG8838,CG8838,13,12,0,0,3,0.64
142169_at,FBgn0038749,CT14542,CG4468,CG4468,0,4,0,0,7,0.64
152782_at,FBgn0037721,CT26734,CG9427,CG9427,0,9,8,0,7,0.64
151576_s_at,FBgn0019664,,CG17964,pan,0,6,0,0,7,0.64
154026_at,FBgn0011712,CT20594,CG6625,Snap,0,2,0,0,4,0.64
152052_at,FBgn0027581,CT19424,CG6191,CG6191,0,2,0,0,7,0.64
146413_at,FBgn0032652,CT21274,CG6870,CG6870,8,4,0,0,9,0.64
147513_at,FBgn0034467,CT35016,CG15128,CG15128,13,12,4,0,3,0.64
152625_at,FBgn0031522,CT11031,CG3285,CG3285,0,12,0,0,7,0.64
151602_at,FBgn0002921,CT17822,CG5670,Atpalpha,7,0,4,0,0,0.64
153991_at,FBgn0031738,CT26212,CG9171,CG9171,0,5,0,0,6,0.64
143709_at,FBgn0013348,CT10051,CG2981,TpnC41C,14,0,6,1,4,0.64
151769_at,FBgn0038271,CT12268,CG3731,CG3731,14,0,0,0,0,0.64
152710_at,FBgn0024189,CT7966,CG33141,sns,13,12,0,0,0,0.64
146076_at,FBgn0040097,CT32346,CG17011,lectin-30A,0,12,8,0,5,0.64
149826_at,FBgn0038127,CT24775,CG8476,CG8476,0,12,0,0,5,0.64
146902_at,FBgn0040092,CT4572,CG1652,lectin-46Cb,3,12,4,0,5,0.64
152757_at,FBgn0036068,CT20644,CG6640,CG6640,8,11,0,0,7,0.64
149376_at,FBgn0037410,CT1989,CG1148,CG1148,0,2,0,0,7,0.65
145146_at,FBgn0030677,CT24415,CG8198,CG8198,0,0,4,0,0,0.65
151241_f_at,FBgn0040767,,CG13233,CG13233,13,0,0,0,-1,0.65
141312_at,FBgn0034725,CT18864,CG6044,CG6044,0,2,0,0,7,0.65
149972_at,FBgn0038359,CT17760,CG5614,CG5614,13,12,0,0,5,0.65
149411_at,FBgn0051482,CT7790,CG31482,CG31482,13,12,0,0,-1,0.65
149418_at,FBgn0037464,CT6344,CG1988,CG1988,13,12,0,0,3,0.65
147980_at,FBgn0028567,CT1028,CG1014,robl62A,13,12,4,0,5,0.65
152384_at,FBgn0004580,CT20744,CG6702,Cbp53E,14,5,0,0,9,0.65
153251_at,FBgn0036930,CT23445,CG7749,fat2,0,2,0,7,6,0.65
145166_at,FBgn0041109,CT26192,CG9163,mmd,9,0,0,0,0,0.65
152092_at,FBgn0038797,CT14141,CG4323,CG4323,13,12,0,0,3,0.65
152917_at,FBgn0036137,CT23279,CG7628,CG7628,0,2,0,0,8,0.65
149304_at,FBgn0037289,CT6489,CG2016,CG2016,0,2,0,0,2,0.65
151393_s_at,FBgn0029971,,CG18624,CG18624,7,0,4,0,4,0.65
152427_at,FBgn0003353,CT10669,CG3182,sei,0,2,0,0,1,0.65
144556_at,FBgn0029815,CT36265,CG11462,CG11462,0,2,0,0,7,0.65
154781_at,FBgn0043792,CT42643,CG30427,CG30427,13,0,5,0,-1,0.65
146159_at,FBgn0032249,CT16946,CG5337,CG5337,0,2,0,0,0,0.65
153257_at,FBgn0030467,CT5184,CG1764,CG1764,0,2,0,0,0,0.65
150188_at,FBgn0038697,CT12033,CG3581,CG3581,13,9,4,0,5,0.65
149417_at,FBgn0037463,CT6316,CG1984,CG1984,13,12,4,0,5,0.65
144596_at,FBgn0029869,CT12871,CG3861,CG3861,14,0,0,0,4,0.65
152951_at,FBgn0004784,CT20233,CG6518,inaC,7,4,0,0,9,0.65
152919_at,FBgn0031229,CT36251,CG3436,CG3436,7,0,0,0,2,0.65
150361_at,FBgn0038959,CT33370,CG13856,CG13856,0,2,0,0,7,0.65
142259_at,FBgn0000028,CT26176,CG9151,acj6,13,0,0,0,0,0.65
145365_at,FBgn0031014,CT24218,CG32538,nAcRalpha-18C,7,0,0,0,0,0.65
150999_at,FBgn0039936,CT31159,CG11148,CG11148,14,0,0,0,4,0.65
147398_at,FBgn0034278,CT34199,CG14488,CG14488,13,12,0,0,3,0.65
152421_at,FBgn0038163,CT30359,CG10841,CG10841,0,12,0,0,3,0.65
151553_at,FBgn0034978,CT10888,CG3257,CG3257,0,2,0,0,0,0.65
152497_at,FBgn0035005,CT11737,CG3483,CG3483,13,12,0,0,5,0.65
148396_f_at,FBgn0035882,,CG13666,CG13666,13,0,0,0,-1,0.65
155112_at,FBgn0038570,CT22257,CG7217,CG7217,7,0,4,0,-1,0.65
152604_at,FBgn0036015,CT10378,CG3088,CG3088,4,9,0,0,9,0.65
150128_at,FBgn0038596,CT33942,CG14312,CG14312,0,2,0,0,7,0.65
150191_at,FBgn0038700,CT12399,CG3734,CG3734,0,12,5,0,9,0.65
145438_at,FBgn0031127,CT5600,CG1835,CG1835,13,12,0,0,5,0.65
143913_at,FBgn0020251,CT42364,CG8339,sfl,13,9,0,0,7,0.65
146834_at,FBgn0033330,CT8615,CG8746,CG8746,13,12,4,0,5,0.66
146149_at,FBgn0041723,CT17046,CG5364,rho-5,0,2,0,0,7,0.66
145629_at,FBgn0031407,CT11353,CG4270,CG4270,13,12,0,0,3,0.66
152586_at,FBgn0038143,CT27724,CG9813,CG9813,0,2,0,0,4,0.66
147127_s_at,FBgn0033788,CT32639,CG13323,CG13323,3,11,1,0,4,0.66
142243_at,FBgn0032511,CT26507,CG9306,CG9306,7,0,5,0,4,0.66
145627_at,FBgn0051679,CT37745,CG31679,CG31679,0,12,0,0,-1,0.66
148364_at,FBgn0035823,CT24507,CG8277,CG8277,13,12,0,0,5,0.66
148692_at,FBgn0036338,CT31419,CG11253,CG11253,13,12,0,0,3,0.66
144973_at,FBgn0040222,CT7563,CG4396,fne,13,6,0,0,7,0.66
144304_at,FBgn0028913,CT11685,CG3473,CG3473,0,12,4,0,3,0.66
147407_at,FBgn0034292,CT18118,CG5767,CG5767,0,12,8,0,0,0.66
143658_at,FBgn0011361,CT8957,CG9160,mtacp1,14,0,0,0,4,0.66
148511_at,FBgn0036072,CT20610,CG6628,CG6628,13,12,4,0,3,0.66
152182_at,FBgn0030778,CT15053,CG4678,CG4678,0,2,0,0,0,0.66
152647_at,FBgn0042710,CT17278,CG32849,Hex-t2,13,12,4,0,5,0.66
146799_at,FBgn0033280,CT7604,CG12126,CG12126,13,0,4,0,3,0.66
152495_at,FBgn0052392,CT28365,CG32392,CG32392,13,9,4,0,0,0.66
149605_at,FBgn0053208,CT36705,CG33208,MICAL,13,9,0,0,0,0.66
144293_at,FBgn0028892,CT12586,CG4161,CG4161,13,12,4,0,3,0.66
148980_at,FBgn0036766,CT17436,CG5506,CG5506,3,7,0,0,4,0.66
149085_at,FBgn0036927,CT22843,CG7433,CG7433,0,2,0,0,2,0.66
151205_at,FBgn0042198,CT33393,CG16741,CG16741,13,11,0,0,3,0.66
142154_at,FBgn0014396,CT39082,CG3234,tim,8,0,0,0,4,0.66
149595_at,FBgn0037765,CT26802,CG9458,CG9458,0,12,8,0,4,0.66
146973_at,FBgn0033570,CT23487,CG7712,CG7712,14,0,4,1,7,0.66
145818_s_at,FBgn0015031,,CG14028,cype,7,0,4,0,7,0.66
152379_at,FBgn0036046,CT24378,CG8167,Ilp2,0,3,0,0,7,0.66
148993_at,FBgn0036785,CT33157,CG13700,CG13700,13,12,4,0,3,0.66
151875_at,FBgn0010213,CT25570,CG8905,Sod2,7,0,4,0,4,0.66
147878_at,FBgn0035042,CT12219,CG3640,CG3640,0,12,0,0,3,0.66
144955_at,FBgn0030412,CT30925,CG17762,tomosyn,7,6,0,0,0,0.66
144739_at,FBgn0030106,CT7356,CG12120,CG12120,0,9,8,0,7,0.67
141461_at,FBgn0020764,CT10152,CG3017,Alas,7,11,7,13,4,0.67
146063_at,FBgn0032090,CT27052,CG9582,CG9582,13,12,0,0,3,0.67
152213_at,FBgn0036882,CT26433,CG9279,CG9279,0,2,0,0,5,0.67
152909_at,FBgn0051116,CT21521,CG31116,CG31116,7,0,0,0,1,0.67
152389_at,FBgn0038208,CT33990,CG14355,CG14355,13,12,4,0,0,0.67
151882_at,FBgn0033093,CT9195,CG3270,CG3270,0,9,8,0,4,0.67
149858_at,FBgn0038175,CT27154,CG9602,CG9602,0,12,4,0,5,0.67
149473_at,FBgn0037547,CT23904,CG7910,CG7910,0,12,0,13,4,0.67
144664_at,FBgn0029975,CT3471,CG1444,CG1444,0,9,4,0,0,0.67
147221_at,FBgn0033961,CT31999,CG12859,CG12859,7,0,4,0,7,0.67
151288_at,FBgn0040814,CT33709,CG14113,CG14113,0,12,0,0,7,0.67
153386_at,FBgn0035989,CT39420,CG3967,CG3967,0,2,0,0,1,0.67
153767_at,FBgn0026578,CT23772,CG7832,CG7832,0,6,0,0,2,0.67
151619_at,FBgn0004169,CT41714,CG7107,up,14,5,0,0,4,0.67
146310_at,FBgn0032471,CT16417,CG5122,CG5122,13,0,0,0,3,0.67
151741_at,FBgn0050492,CT6742,CG30492,CG30492,0,4,0,0,0,0.67
145553_at,FBgn0031295,CT14270,CG4375,CG4375,13,12,0,0,5,0.67
144608_at,FBgn0029888,CT10713,CG3192,CG3192,14,0,4,1,0,0.67
145602_at,FBgn0031367,CT35771,CG15623,CG15623,13,12,4,0,3,0.67
141710_r_at,FBgn0003885,CT8333,CG2512,alphaTub84D,0,0,4,0,5,0.67
147163_at,FBgn0033862,CT19464,CG6209,CG6209,13,12,0,0,5,0.67
152089_at,FBgn0036159,CT23125,CG7557,CG7557,13,12,4,0,3,0.67
141354_at,FBgn0032798,CT28491,CG10132,CG10132,0,2,0,0,0,0.67
152954_at,FBgn0032769,CT30134,CG10750,CG10750,13,12,4,0,3,0.67
153034_at,FBgn0052183,CT33203,CG32183,CG32183,0,2,0,0,7,0.67
151563_at,FBgn0052705,CT7794,CG32705,CG32705,0,9,4,0,0,0.67
148796_at,FBgn0036488,CT21300,CG6878,CG6878,0,8,4,0,1,0.67
152682_at,FBgn0024290,CT20985,CG6772,Slob,0,4,0,0,7,0.67
146060_at,FBgn0032087,CT27046,CG9568,CG9568,0,12,0,13,7,0.67
152122_at,FBgn0034296,CT30553,CG10912,CG10912,8,11,2,13,0,0.67
154086_at,FBgn0033797,CT32645,CG13328,CG13328,14,0,4,0,-1,0.67
150441_at,FBgn0039074,CT21057,CG6784,CG6784,13,0,0,0,3,0.67
153370_at,FBgn0026592,CT1463,CG1079,CG1079,7,3,0,0,9,0.67
143875_at,FBgn0016672,CT10121,CG3028,Ipp,0,4,0,0,8,0.67
147760_at,FBgn0034840,CT10470,CG3124,CG3124,0,12,4,0,5,0.68
149868_at,FBgn0038195,CT10290,CG3061,CG3061,8,0,0,0,7,0.68
153677_at,FBgn0037330,CT6846,CG2109,mRpL44,0,0,0,6,6,0.68
145650_at,FBgn0031436,CT10813,CG3214,CG3214,14,0,4,0,4,0.68
149083_at,FBgn0036925,CT39309,CG17736,CG17736,13,12,4,0,5,0.68
152756_at,FBgn0000120,CT17964,CG5711,Arr1,0,4,8,0,4,0.68
142968_at,FBgn0052210,CT26429,CG32210,CG32210,13,12,0,0,6,0.68
151133_at,FBgn0040649,CT35530,CG15461,CG15461,13,12,4,0,7,0.68
148332_at,FBgn0035779,CT15463,CG8562,CG8562,0,12,5,0,9,0.68
152043_at,FBgn0030624,CT26128,CG9106,CG9106,13,12,0,0,3,0.68
147185_at,FBgn0033896,CT32674,CG13353,CG13353,13,12,0,0,3,0.68
143871_at,FBgn0016120,CT18823,CG6030,ATPsyn-d,14,0,4,0,0,0.68
145545_s_at,FBgn0031276,CT33493,CG12506,CG12506,13,12,0,0,5,0.68
146802_at,FBgn0033283,CT34556,CG11635,CG11635,0,0,4,0,5,0.68
152250_at,FBgn0036763,CT22887,CG7441,CG7441,13,12,4,0,5,0.68
151170_at,FBgn0052306,CT33294,CG32306,CG32306,0,6,0,0,0,0.68
143060_f_at,FBgn0000045,CT22987,CG7478,Act79B,14,7,0,0,0,0.68
149178_at,FBgn0052437,CT16124,CG32437,CG32437,13,12,0,0,3,0.68
152930_at,FBgn0010114,CT6282,CG2040,hig,7,1,0,0,9,0.68
149973_at,FBgn0038361,CT27086,CG9589,CG9589,0,9,0,0,3,0.68
146321_at,FBgn0032492,CT17640,CG5648,Prosalpha6T,13,12,4,0,3,0.68
149449_at,FBgn0037506,CT2727,CG1287,CG1287,13,12,4,0,0,0.68
147443_at,FBgn0034355,CT16707,CG5226,CG5226,7,0,0,0,6,0.68
149319_at,FBgn0037309,CT9055,CR31541,CR31541,0,2,0,0,5,0.68
153540_at,FBgn0001202,CT29834,CG10653,hk,0,3,0,0,6,0.68
153863_at,FBgn0052062,CT33758,CG32062,CG32062,0,1,4,0,0,0.68
144471_at,FBgn0029700,CT35693,CG15576,CG15576,13,12,0,0,3,0.68
153997_at,FBgn0028671,CT4886,CG1709,Vha100-1,8,0,0,0,7,0.68
153377_at,FBgn0010350,CT23976,CG7962,CdsA,0,3,0,0,4,0.68
