FlyBase ID,Chromosome,Gene Category,Gene Symbol,P-Value Population,"FDR
Population","P-Value
Age","FDR
Age","P-Value
Pop×Age","FDR
Pop×Age","P-Value
Line(Pop)","FDR
Line(Pop)","B
Mean","O
Mean","Week 1
Mean","Week 5
Mean","B Week 1
Mean","B Week 5
Mean","O Week 1
Mean","O Week 5
Mean",SNP From Divergence,"Minimum P-Value
From Divergence"
FBgn0000036,3R,protein_coding,nAChRalpha1,5.76E-03,6.61E-02,3.94E-01,4.70E-01,2.30E-02,6.87E-02,3.53E-02,7.81E-02,425.74,310.62,376.64,359.73,457.71,393.78,295.57,325.67,,
FBgn0000037,2R,protein_coding,mAChR-A,1.41E-01,3.66E-01,5.87E-01,6.55E-01,6.55E-01,7.85E-01,7.36E-03,2.33E-02,258.26,229.16,241.06,246.37,257.79,258.74,224.32,234,,
FBgn0000038,3L,protein_coding,nAChRbeta1,2.99E-02,1.57E-01,6.09E-04,1.38E-03,3.53E-03,1.55E-02,7.75E-03,2.42E-02,168.42,122.62,163.76,127.27,201.72,135.12,125.81,119.42,,
FBgn0000039,3R,protein_coding,nAChRalpha2,7.94E-03,7.78E-02,2.91E-08,1.41E-07,6.35E-03,2.47E-02,3.81E-01,4.82E-01,80.53,69.15,86.45,63.23,96.65,64.4,76.25,62.06,,
FBgn0000042,X,protein_coding,Act5C,5.13E-03,6.28E-02,1.05E-01,1.51E-01,3.30E-01,5.02E-01,1.07E-01,1.82E-01,"12,371.89","11,429.24",12052.41,11748.72,"12,433.94","12,309.83","11,670.88","11,187.60",,
FBgn0000043,2R,protein_coding,Act42A,7.32E-03,7.49E-02,1.80E-01,2.43E-01,4.38E-01,6.08E-01,3.88E-02,8.39E-02,"1,932.20","1,675.69",1835.63,1772.26,"1,982.00","1,882.40","1,689.27","1,662.12",,
FBgn0000044,2R,protein_coding,Act57B,1.07E-03,2.96E-02,2.46E-06,8.37E-06,3.59E-07,1.49E-05,2.65E-04,1.77E-03,"8,611.03","5,655.33",7868.81,6397.55,"10,172.46","7,049.61","5,565.16","5,745.49",,
FBgn0000045,3L,protein_coding,Act79B,1.16E-02,9.47E-02,2.32E-12,3.08E-11,3.05E-06,7.46E-05,5.42E-03,1.85E-02,"6,214.16","2,910.62",7709.26,1415.52,"10,913.75","1,514.58","4,504.77","1,316.46",,
FBgn0000046,3R,protein_coding,Act87E,3.81E-03,5.53E-02,4.30E-15,1.64E-13,4.35E-07,1.71E-05,7.18E-02,1.34E-01,"2,783.42","2,221.21",3239.56,1765.07,"3,836.73","1,730.10","2,642.38","1,800.04",,
FBgn0000047,3R,protein_coding,Act88F,3.00E-02,1.57E-01,7.68E-04,1.71E-03,2.00E-03,9.82E-03,1.11E-02,3.21E-02,"3,513.27",630.65,3233.36,910.56,"5,723.80","1,302.75",742.93,518.38,,
FBgn0000052,2L,protein_coding,ade2,2.36E-03,4.27E-02,1.56E-02,2.71E-02,4.24E-03,1.79E-02,1.06E-02,3.09E-02,"1,787.37","1,299.15",1462.80,1623.72,"1,609.67","1,965.07","1,315.94","1,282.36",,
FBgn0000053,2L,protein_coding,ade3,1.55E-03,3.45E-02,4.85E-06,1.56E-05,5.75E-06,1.16E-04,1.03E-04,8.33E-04,"2,204.31","1,255.03",1503.60,1955.74,"1,754.68","2,653.94","1,252.52","1,257.54",,
FBgn0000054,2R,protein_coding,Adf1,6.79E-01,8.38E-01,5.96E-01,6.64E-01,3.36E-01,5.08E-01,4.89E-01,5.76E-01,287.15,284.14,283.72,287.57,288.74,285.56,278.69,289.58,,
FBgn0000055,2L,protein_coding,Adh,1.80E-01,4.17E-01,5.73E-13,9.18E-12,4.53E-01,6.20E-01,1.22E-03,5.91E-03,"33,020.08","36,461.65",41594.82,27886.91,"39,456.15","26,584.00","43,733.48","29,189.81",,
FBgn0000056,2L,protein_coding,Adhr,1.47E-02,1.07E-01,7.11E-02,1.07E-01,5.03E-01,6.64E-01,1.43E-01,2.28E-01,"4,409.34","5,700.80",5355.04,4755.10,"4,600.89","4,217.79","6,109.18","5,292.41",,
FBgn0000057,2R,protein_coding,adp,6.99E-01,8.50E-01,4.05E-04,9.46E-04,6.22E-03,2.43E-02,2.30E-02,5.58E-02,505.39,498.31,523.27,480.43,542.6,468.18,503.94,492.68,,
FBgn0000061,2L,protein_coding,al,7.41E-01,8.75E-01,3.20E-01,3.98E-01,4.94E-02,1.25E-01,5.34E-01,6.16E-01,3.26,3.47,3.69,3.04,4.25,2.27,3.13,3.8,,
FBgn0000063,3R,protein_coding,ald,2.81E-01,5.33E-01,5.15E-01,5.89E-01,6.52E-02,1.55E-01,2.19E-01,3.17E-01,51.64,47.21,50.48,48.37,55.75,47.54,45.2,49.21,,
FBgn0000064,3R,protein_coding,Ald,9.60E-03,8.62E-02,4.84E-20,1.74E-17,8.76E-01,9.31E-01,7.50E-06,1.01E-04,"19,825.58","15,581.27",22756.05,12650.80,"24,911.98","14,739.18","20,600.11","10,562.42",,
FBgn0000071,3R,protein_coding,Ama,3.42E-02,1.68E-01,3.76E-01,4.53E-01,3.35E-01,5.07E-01,5.48E-01,6.28E-01,4.78,2.96,3.53,4.21,4.06,5.5,2.99,2.93,,
FBgn0000075,2L,protein_coding,amd,4.73E-01,6.96E-01,4.06E-03,7.93E-03,6.37E-01,7.72E-01,3.50E-01,4.52E-01,23.55,25.23,27.61,21.17,27.26,19.84,27.96,22.5,,
FBgn0000077,X,protein_coding,amx,2.93E-01,5.45E-01,4.59E-04,1.06E-03,2.45E-02,7.21E-02,3.41E-01,4.43E-01,95.56,100.07,90.53,105.11,83.9,107.23,97.15,102.99,,
FBgn0000078,2R,protein_coding,Amy-d,5.77E-01,7.72E-01,4.19E-04,9.76E-04,3.81E-02,1.02E-01,7.83E-08,2.37E-06,"3,986.22","3,652.27",4129.96,3508.53,"4,127.87","3,844.57","4,132.05","3,172.50",2R:13011759,9.76E-05
FBgn0000079,2R,protein_coding,Amy-p,3.99E-01,6.38E-01,7.50E-05,1.98E-04,1.04E-02,3.65E-02,2.46E-05,2.64E-04,"4,342.24","4,926.18",5187.61,4080.81,"4,567.75","4,116.74","5,807.47","4,044.89",,
FBgn0000083,3R,protein_coding,AnxB9,1.97E-02,1.25E-01,4.13E-12,5.10E-11,4.56E-03,1.90E-02,3.01E-05,3.14E-04,"2,772.90","2,458.09",2386.35,2844.64,"2,482.26","3,063.55","2,290.44","2,625.73",,
FBgn0000084,X,protein_coding,AnxB10,8.17E-02,2.72E-01,4.83E-01,5.58E-01,7.05E-02,1.65E-01,6.94E-03,2.22E-02,703.14,756.85,724.83,735.16,684.31,721.98,765.35,748.35,,
FBgn0000092,X,protein_coding,CG2650,1.73E-04,1.44E-02,1.02E-02,1.84E-02,1.21E-01,2.47E-01,2.47E-02,5.90E-02,6.01,21.81,11.90,15.93,5.17,6.86,18.63,25,,
FBgn0000094,3R,protein_coding,Anp,1.22E-03,3.15E-02,4.25E-08,2.01E-07,1.13E-03,6.20E-03,2.39E-01,3.39E-01,"2,819.15","2,072.91",2926.19,1965.87,"3,533.48","2,104.81","2,318.90","1,826.93",3R:26035438,0.000981643
FBgn0000097,2L,protein_coding,aop,1.70E-01,4.04E-01,2.08E-06,7.19E-06,4.47E-01,6.16E-01,3.41E-04,2.16E-03,595.31,543.77,525.99,613.09,546.12,644.5,505.86,581.68,,
FBgn0000099,2R,protein_coding,ap,3.86E-01,6.26E-01,1.13E-02,2.03E-02,8.75E-02,1.94E-01,9.64E-09,4.31E-07,981.72,696.77,735.73,942.77,810.58,"1,152.87",660.88,732.67,,
FBgn0000100,3L,protein_coding,RpLP0,4.44E-01,6.75E-01,1.74E-08,8.82E-08,4.83E-01,6.47E-01,2.23E-01,3.21E-01,"8,009.99","8,154.02",7501.02,8662.99,"7,376.00","8,643.97","7,626.05","8,682.00",,
FBgn0000108,X,protein_coding,Appl,1.09E-02,9.20E-02,5.50E-01,6.22E-01,5.09E-03,2.07E-02,9.19E-03,2.76E-02,"1,750.82","1,338.48",1565.54,1523.76,"1,876.71","1,624.94","1,254.37","1,422.59",X :470239,0.000229392
FBgn0000109,3L,protein_coding,Aprt,3.20E-01,5.71E-01,2.74E-01,3.49E-01,3.97E-01,5.69E-01,2.14E-02,5.29E-02,92.81,85.91,91.54,87.18,93.31,92.32,89.76,82.05,,
FBgn0000114,2L,protein_coding,aret,2.05E-01,4.49E-01,1.53E-09,9.72E-09,1.84E-02,5.76E-02,4.66E-02,9.62E-02,"2,195.28","2,020.37",2472.41,1743.25,"2,663.69","1,726.87","2,281.12","1,759.62",,
FBgn0000115,3L,protein_coding,Arl1,3.29E-01,5.79E-01,2.72E-04,6.56E-04,3.23E-01,4.98E-01,8.28E-01,8.59E-01,337.45,344.87,361.63,320.69,362.87,312.04,360.39,329.34,,
FBgn0000116,3L,protein_coding,Argk,5.60E-03,6.52E-02,4.69E-18,7.29E-16,9.62E-09,9.85E-07,1.55E-03,7.09E-03,"21,241.66","14,842.96",26124.84,9959.78,"32,586.94","9,896.37","19,662.74","10,023.19",,
FBgn0000117,X,protein_coding,arm,2.43E-01,4.94E-01,7.09E-01,7.63E-01,3.69E-01,5.42E-01,5.70E-01,6.48E-01,"2,354.98","2,396.91",2369.13,2382.76,"2,331.65","2,378.31","2,406.61","2,387.22",,
FBgn0000119,2R,protein_coding,arr,7.88E-02,2.66E-01,2.52E-08,1.24E-07,1.67E-02,5.34E-02,8.84E-06,1.14E-04,647.32,699.42,639.38,707.36,602.01,692.63,676.75,722.09,,
FBgn0000120,2L,protein_coding,Arr1,9.51E-02,2.94E-01,9.77E-03,1.77E-02,5.22E-02,1.31E-01,2.01E-03,8.72E-03,"11,163.37","12,055.41",11927.21,11291.57,"11,713.57","10,613.17","12,140.85","11,969.97",,
FBgn0000121,3L,protein_coding,Arr2,1.34E-02,1.02E-01,4.60E-08,2.16E-07,6.15E-03,2.40E-02,6.33E-03,2.08E-02,"17,400.93","20,335.79",17030.18,20706.55,"16,298.36","18,503.50","17,761.99","22,909.59",,
FBgn0000137,X,protein_coding,ase,1.16E-02,9.48E-02,2.32E-05,6.63E-05,6.99E-03,2.67E-02,1.28E-01,2.09E-01,4.3,1.31,1.05,4.55,1.54,7.06,0.56,2.05,X :355612,4.46E-06
FBgn0000139,3R,protein_coding,ash2,6.97E-01,8.48E-01,1.64E-07,6.89E-07,5.90E-04,3.70E-03,7.39E-03,2.33E-02,238.36,244.11,214.55,267.92,196.72,279.99,232.38,255.84,,
FBgn0000140,3R,protein_coding,asp,2.40E-01,4.91E-01,3.54E-08,1.70E-07,1.56E-04,1.33E-03,4.40E-02,9.22E-02,328.5,305.08,361.87,271.71,399.8,257.2,323.95,286.21,,
FBgn0000146,2L,protein_coding,aub,8.49E-01,9.31E-01,3.28E-01,4.03E-01,5.00E-01,6.61E-01,3.97E-02,8.53E-02,86.68,85.61,87.88,84.40,89.61,83.74,86.15,85.06,,
FBgn0000147,3R,protein_coding,aur,6.76E-02,2.45E-01,9.10E-07,3.35E-06,2.38E-03,1.13E-02,4.05E-01,5.04E-01,199.47,213.37,226.23,186.62,229.85,169.1,222.61,204.13,,
FBgn0000150,3R,protein_coding,awd,8.94E-01,9.52E-01,4.23E-05,1.16E-04,2.78E-02,8.00E-02,6.25E-02,1.21E-01,"2,466.41","2,450.14",2653.53,2263.02,"2,755.16","2,177.66","2,551.90","2,348.38",,
FBgn0000152,X,protein_coding,Axs,4.25E-01,6.59E-01,8.34E-01,8.68E-01,7.02E-01,8.17E-01,8.41E-02,1.52E-01,160.62,154.47,157.00,158.10,161.07,160.17,152.92,156.02,,
FBgn0000153,2L,protein_coding,b,4.31E-01,6.63E-01,5.89E-16,3.38E-14,2.99E-01,4.74E-01,2.67E-02,6.27E-02,717.72,768.54,1054.01,432.24,"1,008.67",426.76,"1,099.36",437.72,2L:13822326,0.000223547
FBgn0000157,2R,protein_coding,Dll,3.52E-01,5.97E-01,1.73E-02,2.98E-02,4.10E-01,5.81E-01,4.28E-01,5.26E-01,127.26,121.66,117.44,131.48,122.57,131.96,112.32,131.01,,
FBgn0000158,3R,protein_coding,bam,3.15E-01,5.67E-01,5.43E-02,8.40E-02,5.44E-01,6.99E-01,2.70E-01,3.71E-01,19.68,17.31,16.57,20.41,17.17,22.18,15.98,18.64,,
FBgn0000163,X,protein_coding,baz,9.21E-02,2.89E-01,3.26E-08,1.57E-07,8.18E-03,3.02E-02,3.48E-08,1.22E-06,"7,015.81","5,062.43",5035.98,7042.27,"5,633.97","8,397.65","4,437.98","5,686.89",,
FBgn0000166,3R,protein_coding,bcd,3.44E-01,5.92E-01,2.90E-02,4.78E-02,6.05E-01,7.48E-01,3.80E-01,4.81E-01,6.73,5.69,5.09,7.33,5.87,7.6,4.32,7.07,,
FBgn0000173,X,protein_coding,ben,1.13E-01,3.22E-01,4.46E-01,5.21E-01,1.29E-02,4.32E-02,2.76E-01,3.77E-01,901.5,939.72,913.37,927.85,869.38,933.62,957.35,922.08,,
FBgn0000179,X,protein_coding,bi,1.22E-01,3.37E-01,9.49E-02,1.38E-01,3.85E-01,5.57E-01,1.58E-01,2.46E-01,75.3,65.51,66.58,74.23,73.43,77.17,59.73,71.29,,
FBgn0000180,2L,protein_coding,bib,2.08E-02,1.29E-01,6.21E-03,1.17E-02,6.53E-02,1.55E-01,6.87E-05,6.08E-04,46,31.03,41.50,35.53,50.92,41.08,32.08,29.98,,
FBgn0000181,2R,protein_coding,bic,6.62E-01,8.28E-01,1.44E-11,1.52E-10,9.28E-02,2.03E-01,1.25E-05,1.51E-04,"4,179.74","4,235.13",3974.84,4440.03,"3,909.95","4,449.53","4,039.73","4,430.52",,
FBgn0000182,2L,protein_coding,BicC,9.02E-01,9.56E-01,2.11E-11,2.12E-10,3.80E-04,2.64E-03,1.77E-03,7.89E-03,720.59,714.75,836.43,598.91,884.16,557.02,788.69,640.8,2L:16041252,0.000513608
FBgn0000183,2L,protein_coding,BicD,1.55E-02,1.10E-01,1.23E-04,3.14E-04,3.02E-03,1.36E-02,3.07E-05,3.20E-04,918.49,744.46,784.81,878.14,905.84,931.14,663.78,825.14,,
FBgn0000206,3R,protein_coding,boss,7.55E-01,8.83E-01,9.85E-09,5.26E-08,2.58E-03,1.20E-02,1.26E-04,9.78E-04,268.59,262.31,296.76,234.14,312.82,224.36,280.69,243.92,3R:21792820,0.000326534
FBgn0000210,X,protein_coding,br,9.25E-02,2.90E-01,7.03E-06,2.20E-05,4.45E-01,6.13E-01,6.33E-02,1.22E-01,122.71,100.78,90.25,133.25,104.24,141.19,76.25,125.32,X :1519619,9.98E-15
FBgn0000212,3L,protein_coding,brm,4.53E-01,6.81E-01,3.43E-04,8.12E-04,5.41E-01,6.97E-01,1.55E-04,1.15E-03,645.42,608.72,588.51,665.63,612.71,678.13,564.31,653.13,,
FBgn0000216,3L,protein_coding,Brd,3.47E-01,5.92E-01,3.26E-01,4.01E-01,3.26E-01,4.98E-01,4.58E-01,5.50E-01,0.06,0,0.06,0.00,0.11,0,0,0,,
FBgn0000221,X,protein_coding,brn,6.60E-02,2.43E-01,1.33E-01,1.87E-01,6.92E-01,8.11E-01,2.48E-01,3.48E-01,57.87,65.59,64.11,59.34,59.64,56.1,68.59,62.58,,
FBgn0000227,2L,protein_coding,Bsg25A,7.31E-01,8.69E-01,7.07E-01,7.61E-01,5.26E-01,6.83E-01,2.58E-01,3.59E-01,0.47,0.56,0.56,0.47,0.44,0.5,0.67,0.45,,
FBgn0000228,2L,protein_coding,Bsg25D,5.01E-01,7.18E-01,6.41E-15,2.25E-13,4.02E-04,2.75E-03,7.37E-04,3.96E-03,872.63,852.42,765.40,959.64,749.52,995.73,781.28,923.55,,
FBgn0000229,2L,protein_coding,bsk,8.58E-01,9.35E-01,7.00E-02,1.05E-01,3.49E-01,5.22E-01,2.57E-01,3.57E-01,694.75,698.27,681.13,711.90,671.58,717.93,690.67,705.87,,
FBgn0000233,X,protein_coding,btd,3.55E-02,1.72E-01,5.28E-01,6.02E-01,9.45E-01,9.70E-01,7.87E-01,8.26E-01,9.81,7.74,9.12,8.43,10.12,9.5,8.13,7.36,,
FBgn0000239,2L,protein_coding,bur,9.71E-02,2.96E-01,7.44E-12,8.59E-11,4.32E-04,2.91E-03,2.09E-03,8.96E-03,"1,290.45","1,229.01",1170.40,1349.06,"1,169.30","1,411.60","1,171.49","1,286.52",,
FBgn0000241,2R,protein_coding,bw,3.37E-01,5.87E-01,1.53E-01,2.11E-01,6.51E-01,7.82E-01,4.84E-01,5.72E-01,83.86,88.55,82.77,89.64,79.36,88.37,86.19,90.91,,
FBgn0000244,3R,protein_coding,by,8.01E-01,9.07E-01,3.22E-07,1.29E-06,1.06E-01,2.23E-01,6.60E-03,2.14E-02,"1,395.58","1,385.80",1323.67,1457.72,"1,311.72","1,479.45","1,335.62","1,435.98",,
FBgn0000246,3R,protein_coding,c(3)G,8.14E-01,9.15E-01,2.07E-08,1.03E-07,4.37E-02,1.14E-01,1.56E-08,6.41E-07,127.04,122.4,106.26,143.18,103.53,150.55,108.99,135.82,,
FBgn0000247,3R,protein_coding,ca,3.51E-02,1.71E-01,2.21E-02,3.73E-02,1.31E-01,2.63E-01,5.94E-04,3.35E-03,950.05,824.52,914.00,860.57,993.89,906.2,834.11,814.94,,
FBgn0000250,2L,protein_coding,cact,5.65E-04,2.26E-02,9.87E-04,2.16E-03,9.73E-03,3.47E-02,1.01E-01,1.75E-01,"1,906.26","1,616.52",1691.14,1831.64,"1,783.04","2,029.49","1,599.25","1,633.78",,
FBgn0000251,2L,protein_coding,cad,7.84E-01,8.99E-01,2.28E-09,1.39E-08,1.34E-01,2.67E-01,1.68E-03,7.58E-03,390.86,396.1,355.24,431.72,359.45,422.26,351.02,441.17,2L:20777803,0.000144396
FBgn0000253,2R,protein_coding,Cam,1.19E-03,3.09E-02,7.93E-04,1.76E-03,6.11E-01,7.52E-01,1.28E-01,2.09E-01,"8,843.23","7,587.09",7852.24,8578.08,"8,529.95","9,156.50","7,174.53","7,999.65",,
FBgn0000256,2L,protein_coding,capu,6.00E-01,7.86E-01,1.56E-11,1.64E-10,8.86E-05,8.67E-04,5.24E-02,1.05E-01,"1,838.49","1,809.59",2014.52,1633.56,"2,109.32","1,567.65","1,919.71","1,699.47",2L:3877955,8.71E-06
FBgn0000257,X,protein_coding,car,7.12E-01,8.58E-01,1.72E-01,2.34E-01,6.95E-01,8.13E-01,9.07E-01,9.24E-01,267.16,265.5,261.56,271.10,261.05,273.28,262.08,268.92,,
FBgn0000259,X,protein_coding,CkIIbeta,6.62E-01,8.28E-01,7.32E-04,1.63E-03,7.07E-01,8.20E-01,3.14E-01,4.16E-01,727.98,718.66,688.28,758.36,696.46,759.51,680.1,757.21,,
FBgn0000261,3L,protein_coding,Cat,1.23E-01,3.37E-01,1.57E-08,8.03E-08,4.37E-11,1.86E-08,1.54E-04,1.14E-03,"7,951.96","7,297.71",7021.15,8228.52,"6,549.62","9,354.31","7,492.69","7,102.73",3L:18818834,0.00021372
FBgn0000273,2L,protein_coding,Pka-C1,9.17E-04,2.75E-02,9.55E-01,9.65E-01,1.67E-01,3.13E-01,4.90E-02,1.00E-01,"2,691.05","2,169.28",2432.06,2428.27,"2,740.69","2,641.40","2,123.42","2,215.14",2L:9687347,1.43E-05
FBgn0000274,3R,protein_coding,Pka-C2,5.35E-01,7.44E-01,5.14E-10,3.63E-09,3.09E-03,1.39E-02,7.64E-03,2.40E-02,301.39,290.32,338.78,252.93,359.33,243.46,318.23,262.41,,
FBgn0000276,3R,protein_coding,CecA1,1.41E-02,1.05E-01,4.59E-06,1.49E-05,4.57E-01,6.24E-01,3.63E-04,2.26E-03,304.99,500.02,326.57,478.44,218.94,391.05,434.2,565.84,3R:26037692,0.000151857
FBgn0000277,3R,protein_coding,CecA2,6.35E-04,2.36E-02,5.51E-03,1.05E-02,2.27E-03,1.08E-02,6.55E-01,7.19E-01,152.43,57.16,74.06,135.53,87.37,217.49,60.75,53.57,3R:26037692,0.000151857
FBgn0000278,3R,protein_coding,CecB,1.58E-01,3.87E-01,1.92E-02,3.28E-02,9.27E-02,2.03E-01,1.47E-02,3.98E-02,8.65,3.94,4.13,8.46,4.96,12.33,3.29,4.59,,
FBgn0000279,3R,protein_coding,CecC,1.84E-04,1.47E-02,7.23E-03,1.35E-02,6.23E-02,1.50E-01,7.75E-01,8.17E-01,64.4,18.67,28.34,54.72,42.37,86.43,14.31,23.02,,
FBgn0000280,3R,pseudogene,Cec-Psi1,3.47E-01,5.92E-01,3.26E-01,4.01E-01,3.26E-01,4.98E-01,4.58E-01,5.50E-01,0.06,0,0.00,0.06,0,0.13,0,0,3R:26037692,0.000151857
FBgn0000281,3R,pseudogene,Cec2,3.47E-01,5.92E-01,3.26E-01,4.01E-01,3.26E-01,4.98E-01,4.58E-01,5.50E-01,0,0.06,0.00,0.06,0,0,0,0.12,,
FBgn0000283,3R,protein_coding,Cp190,3.64E-01,6.06E-01,1.76E-12,2.42E-11,1.27E-03,6.78E-03,3.73E-03,1.40E-02,"1,054.57","1,027.36",954.91,1127.02,942.63,"1,166.51",967.19,"1,087.54",,
FBgn0000286,2L,protein_coding,Cf2,4.17E-02,1.87E-01,2.18E-01,2.87E-01,3.09E-01,4.83E-01,1.04E-08,4.56E-07,892.6,474.26,656.58,710.27,887.82,897.37,425.34,523.17,,
FBgn0000287,2L,protein_coding,salr,1.93E-01,4.34E-01,4.25E-06,1.38E-05,1.05E-02,3.67E-02,1.31E-08,5.54E-07,353.49,300.36,353.41,300.44,367.19,339.78,339.62,261.1,,
FBgn0000289,2R,protein_coding,cg,8.69E-01,9.40E-01,6.67E-02,1.01E-01,8.94E-02,1.97E-01,4.66E-02,9.63E-02,"1,243.00","1,248.55",1225.48,1266.07,"1,241.42","1,244.58","1,209.55","1,287.56",2R:10061006,0.000829187
FBgn0000299,2L,protein_coding,Cg25C,3.75E-05,8.22E-03,1.57E-07,6.63E-07,2.78E-04,2.07E-03,1.38E-01,2.22E-01,"2,225.49","1,298.70",2061.72,1462.47,"2,704.76","1,746.23","1,418.68","1,178.72",,
FBgn0000303,3R,protein_coding,Cha,5.85E-04,2.29E-02,5.08E-10,3.60E-09,7.49E-04,4.45E-03,4.56E-01,5.50E-01,240.12,189.06,257.65,171.53,300.77,179.47,214.53,163.59,,
FBgn0000307,2L,protein_coding,chif,2.92E-02,1.55E-01,5.51E-03,1.05E-02,7.58E-01,8.55E-01,1.46E-01,2.32E-01,825.2,706.14,713.67,817.68,778.56,871.83,648.77,763.52,,
FBgn0000308,2L,protein_coding,chic,2.81E-03,4.69E-02,1.05E-10,8.79E-10,2.70E-03,1.24E-02,1.02E-01,1.77E-01,"2,787.32","2,445.16",2324.15,2908.33,"2,398.71","3,175.93","2,249.59","2,640.73",,
FBgn0000313,3R,protein_coding,chp,2.21E-01,4.68E-01,2.46E-13,4.45E-12,5.55E-11,2.09E-08,3.31E-03,1.28E-02,"2,371.81","2,247.62",2616.27,2003.16,"2,921.23","1,822.39","2,311.31","2,183.92",,
FBgn0000316,X,protein_coding,cin,1.54E-02,1.10E-01,5.80E-02,8.91E-02,5.47E-02,1.35E-01,5.86E-01,6.61E-01,305.49,327.58,308.71,324.36,289.73,321.26,327.69,327.47,,
FBgn0000317,2L,protein_coding,ck,1.37E-01,3.59E-01,1.69E-03,3.56E-03,1.59E-04,1.35E-03,2.80E-12,4.82E-10,"1,125.46","1,340.06",1193.58,1271.94,"1,135.47","1,115.45","1,251.70","1,428.43",,
FBgn0000318,2L,protein_coding,cl,4.10E-02,1.85E-01,5.26E-01,6.00E-01,3.72E-01,5.44E-01,2.56E-04,1.73E-03,873.36,969.01,915.88,926.49,875.55,871.17,956.2,981.81,,
FBgn0000319,X,protein_coding,Chc,1.12E-01,3.21E-01,9.57E-12,1.07E-10,3.09E-04,2.24E-03,7.38E-02,1.37E-01,"6,231.02","6,086.95",5848.07,6469.90,"5,804.64","6,657.41","5,891.50","6,282.40",,
FBgn0000320,2L,protein_coding,eya,6.53E-01,8.21E-01,4.23E-09,2.45E-08,4.49E-03,1.88E-02,8.98E-02,1.60E-01,188.44,192.56,216.89,164.11,224.58,152.3,209.2,175.92,,
FBgn0000326,2R,protein_coding,clt,9.62E-03,8.63E-02,2.70E-02,4.48E-02,6.24E-01,7.62E-01,4.58E-01,5.50E-01,149.02,174.25,170.34,152.93,159.58,138.47,181.11,167.39,,
FBgn0000330,X,protein_coding,cm,3.01E-03,4.89E-02,4.12E-01,4.88E-01,7.13E-01,8.25E-01,4.64E-01,5.55E-01,145.63,164.08,156.70,153.02,148.3,142.97,165.1,163.07,,
FBgn0000337,2R,protein_coding,cn,1.18E-01,3.30E-01,4.33E-02,6.86E-02,3.69E-03,1.60E-02,3.18E-01,4.20E-01,3.07,2.02,1.97,3.12,1.64,4.5,2.3,1.73,,
